strategy,metric,mean,std,count
kev_first,scheduled_count,100.0,0.0,30
kev_first,scheduler_feasibility,1.0,0.0,30
oracle,audit_hash_chain_valid,1.0,0.0,30
oracle,audit_record_count,184.26666666666668,2.1161665623339445,30
oracle,capacity_efficiency,1.0,0.0,30
oracle,ehd_absolute,1119327.5333333334,3436.3695631745663,30
oracle,kev_breach_rate,0.9952305150720316,0.0005405814443695,30
oracle,ndcg_at_k,1.0,0.0,30
oracle,precision_at_k,1.0,0.0,30
oracle,recall_at_k,0.0006490106493452,1.9342125600078256e-06,30
oracle,risk_acceptance_rate,0.0039868702490814,0.0053307762827964,30
oracle,scheduled_count,100.0,0.0,30
oracle,scheduler_feasibility,1.0,0.0,30
proposed_full,audit_hash_chain_valid,1.0,0.0,30
proposed_full,audit_record_count,101.0,0.0,30
proposed_full,capacity_efficiency,0.6503333333333333,0.4580203529082096,30
proposed_full,ehd_absolute,1121717.0,4874.063489179395,30
proposed_full,kev_breach_rate,0.9923675040448212,0.0075116513281938,30
proposed_full,ndcg_at_k,0.6896882627753613,0.4614327380305166,30
proposed_full,precision_at_k,0.6866666666666668,0.4606841489105863,30
proposed_full,recall_at_k,0.0004456342665335,0.000298962663921,30
proposed_full,risk_acceptance_rate,0.0,0.0,30
proposed_full,scheduled_count,100.0,0.0,30
proposed_full,scheduler_feasibility,1.0,0.0,30
proposed_no_criticality,audit_hash_chain_valid,1.0,0.0,30
proposed_no_criticality,audit_record_count,101.0,0.0,30
proposed_no_criticality,capacity_efficiency,0.3,0.466091599699399,30
proposed_no_criticality,ehd_absolute,1124319.7,4320.006913707736,30
proposed_no_criticality,kev_breach_rate,0.9959166302961504,0.0068874947583419,30
proposed_no_criticality,ndcg_at_k,0.3,0.466091599699399,30
proposed_no_criticality,precision_at_k,0.3,0.466091599699399,30
proposed_no_criticality,recall_at_k,0.0001945011326348,0.0003021865441876,30
proposed_no_criticality,risk_acceptance_rate,0.0,0.0,30
proposed_no_criticality,scheduled_count,100.0,0.0,30
proposed_no_criticality,scheduler_feasibility,1.0,0.0,30
proposed_no_exposure,audit_hash_chain_valid,1.0,0.0,30
proposed_no_exposure,audit_record_count,292.06666666666666,182.8547441858274,30
proposed_no_exposure,capacity_efficiency,0.6763333333333333,0.434753067712072,30
proposed_no_exposure,ehd_absolute,1121570.4,4703.823357579498,30
proposed_no_exposure,kev_breach_rate,0.9935295833439668,0.0074374035512212,30
proposed_no_exposure,ndcg_at_k,0.72090618077095,0.4396569524717209,30
proposed_no_exposure,precision_at_k,0.7200000000000001,0.4413146504362337,30
proposed_no_exposure,recall_at_k,0.0004672408748923,0.0002863562920702,30
proposed_no_exposure,risk_acceptance_rate,0.0,0.0,30
proposed_no_exposure,scheduled_count,100.0,0.0,30
proposed_no_exposure,scheduler_feasibility,1.0,0.0,30
random,audit_hash_chain_valid,1.0,0.0,30
random,audit_record_count,103.43333333333334,1.478193989726777,30
random,capacity_efficiency,0.7273333333333334,0.0437810645050506,30
random,ehd_absolute,1121275.8,3398.2523033526263,30
random,kev_breach_rate,0.9956074532633192,0.0006922633709506,30
random,ndcg_at_k,0.7346008553677824,0.1462597675283408,30
random,precision_at_k,0.7266666666666667,0.1201531589646956,30
random,recall_at_k,0.0004716069489336,7.792283170965975e-05,30
random,risk_acceptance_rate,0.0003267973856209,0.0017899429983828,30
random,scheduled_count,100.0,0.0,30
random,scheduler_feasibility,1.0,0.0,30
