cell_K,cell_lambda,seed,window,strategy,p_at_50,alpha,beta,gamma,delta
50,3.0,110,6,offline,0.56,0.7,0.5,0.0,0.3
50,3.0,111,6,fixed,0.38,0.7,0.5,0.1,0.2
50,3.0,111,6,online,0.4,0.9,0.7,0.0,0.3
50,3.0,111,6,offline,0.42,0.7,0.5,0.0,0.3
50,3.0,112,6,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,112,6,online,0.48,0.9,0.7,0.0,0.3
50,3.0,112,6,offline,0.5,0.7,0.5,0.0,0.3
50,3.0,113,6,fixed,0.48,0.7,0.5,0.1,0.2
50,3.0,113,6,online,0.48,0.9,0.7,0.0,0.3
50,3.0,113,6,offline,0.48,0.7,0.5,0.0,0.3
50,3.0,114,6,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,114,6,online,0.5,0.9,0.7,0.0,0.3
50,3.0,114,6,offline,0.54,0.7,0.5,0.0,0.3
50,3.0,115,6,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,115,6,online,0.48,0.9,0.7,0.0,0.3
50,3.0,115,6,offline,0.5,0.7,0.5,0.0,0.3
50,3.0,116,6,fixed,0.46,0.7,0.5,0.1,0.2
50,3.0,116,6,online,0.48,0.9,0.7,0.0,0.3
50,3.0,116,6,offline,0.44,0.7,0.5,0.0,0.3
50,3.0,117,6,fixed,0.46,0.7,0.5,0.1,0.2
50,3.0,117,6,online,0.48,0.9,0.7,0.0,0.3
50,3.0,117,6,offline,0.46,0.7,0.5,0.0,0.3
50,3.0,118,6,fixed,0.42,0.7,0.5,0.1,0.2
50,3.0,118,6,online,0.46,0.9,0.7,0.0,0.3
