seed,window,method,n_pairs,n_positives,p_at_50,p_at_100,p_at_250
128,6,HRS-only,1515,82,0.02,0.06,0.108
128,6,Random,1515,82,0.04,0.06,0.06
129,1,HygienePrio-full,1790,163,0.58,0.56,0.508
129,1,EPSS-only,1790,163,0.36,0.35,0.348
129,1,CVSS-only,1790,163,0.06,0.11,0.096
129,1,HRS-only,1790,163,0.22,0.28,0.296
129,1,Random,1790,163,0.16,0.11,0.084
129,2,HygienePrio-full,1742,139,0.5,0.56,0.456
129,2,EPSS-only,1742,139,0.12,0.21,0.288
129,2,CVSS-only,1742,139,0.06,0.11,0.104
129,2,HRS-only,1742,139,0.2,0.23,0.248
129,2,Random,1742,139,0.16,0.13,0.084
129,3,HygienePrio-full,1695,120,0.6,0.56,0.4
129,3,EPSS-only,1695,120,0.04,0.18,0.288
129,3,CVSS-only,1695,120,0.04,0.06,0.084
129,3,HRS-only,1695,120,0.14,0.2,0.204
129,3,Random,1695,120,0.12,0.1,0.064
129,4,HygienePrio-full,1647,108,0.48,0.47,0.376
129,4,EPSS-only,1647,108,0.02,0.12,0.256
129,4,CVSS-only,1647,108,0.06,0.07,0.076
129,4,HRS-only,1647,108,0.06,0.15,0.184
129,4,Random,1647,108,0.08,0.05,0.048
129,5,HygienePrio-full,1597,108,0.56,0.55,0.388
129,5,EPSS-only,1597,108,0.06,0.13,0.26
129,5,CVSS-only,1597,108,0.06,0.05,0.068
129,5,HRS-only,1597,108,0.18,0.17,0.188
129,5,Random,1597,108,0.02,0.04,0.072
129,6,HygienePrio-full,1550,83,0.5,0.48,0.312
129,6,EPSS-only,1550,83,0.02,0.14,0.26
129,6,CVSS-only,1550,83,0.04,0.04,0.048
129,6,HRS-only,1550,83,0.1,0.1,0.128
129,6,Random,1550,83,0.06,0.03,0.056
