batch_id,cell_id,seed,freeze_witness_id,strategy,weight_vector,capacity_ratio,blackout_policy,approver_policy,label_source,epss_era,catalog_strictness,ablation,t0_window_set,capacity_efficiency,ehd_absolute,n_pairs_total,n_t0_windows,scheduled_count_total,scheduler_feasibility
B-primary-ablation,ABL-w_context_dominant-remove_C,15,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3404169888.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_C,16,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3338208240.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_C,17,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3244821472.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_C,18,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3278559104.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_C,19,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3327803248.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_C,20,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3286090864.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_C,21,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3280045616.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_C,22,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3206898576.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_C,23,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3389502592.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_C,24,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3220946480.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_C,25,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3349203584.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_C,26,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3379250736.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_C,27,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3480575824.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_C,28,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3496530400.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_C,29,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,monthly_18_2023_09_to_2025_02,0.010000,3271983040.000000,201924000.000000,18.000000,2019240.000000,1.000000
