seed,axis,regime,ghost_rate,phantom_rate,total_error,retire,precision
1300,regime,continuous,0.010465379078409297,0.12689109504950125,0.13735647412791055,,
1300,regime,periodic,0.5641001983676774,0.029904131512380305,0.5940043298800577,,
1300,retire,,0.0988649188323081,0.059632101773289106,0.1584970206055972,7.0,
1300,retire,,0.03795503142798104,0.0805664682933101,0.11852149972129114,14.0,
1300,retire,,0.010465379078409297,0.12689109504950125,0.13735647412791055,30.0,
1300,retire,,0.007764993413476367,0.2091456500733669,0.21691064348684327,60.0,
1300,retire,,0.007459705814251985,0.37159891237479675,0.37905861818904873,120.0,
1300,precision,,0.011765141029126003,0.2686192145005199,0.2803843555296459,,0.8
1300,precision,,0.011290978179705301,0.17363297458842114,0.18492395276812645,,0.9
1300,precision,,0.010465379078409297,0.12689109504950125,0.13735647412791055,,0.95
1300,precision,,0.009992297519133575,0.08649974209756342,0.096492039616697,,0.99
1301,regime,continuous,0.010995075923292767,0.126079199266427,0.13707427518971976,,
1301,regime,periodic,0.5793935280964566,0.030824834796079836,0.6102183628925364,,
1301,retire,,0.10325620151751004,0.06041006009225675,0.1636662616097668,7.0,
1301,retire,,0.038717926460881034,0.08139817067615207,0.12011609713703311,14.0,
1301,retire,,0.010995075923292767,0.126079199266427,0.13707427518971976,30.0,
1301,retire,,0.007943515491065223,0.2068091124268042,0.21475262791786942,60.0,
1301,retire,,0.007637315446443491,0.36480030828180676,0.37243762372825023,120.0,
1301,precision,,0.012019308790352842,0.2719392096279197,0.2839585184182725,,0.8
1301,precision,,0.010573229384114473,0.16994851725080343,0.1805217466349179,,0.9
1301,precision,,0.010995075923292767,0.126079199266427,0.13707427518971976,,0.95
1301,precision,,0.00962129907520934,0.08562443998337936,0.0952457390585887,,0.99
1302,regime,continuous,0.010090301347762705,0.12658075327166163,0.13667105461942433,,
1302,regime,periodic,0.5718240946863814,0.03316614878331303,0.6049902434696944,,
1302,retire,,0.11401864176777783,0.05895200094694764,0.17297064271472548,7.0,
1302,retire,,0.03852032393522616,0.08094382924526204,0.1194641531804882,14.0,
1302,retire,,0.010090301347762705,0.12658075327166163,0.13667105461942433,30.0,
1302,retire,,0.0077616708953733935,0.20861886854617717,0.21638053944155056,60.0,
1302,retire,,0.007192308940952849,0.35667377114396076,0.3638660800849136,120.0,
1302,precision,,0.012490823191195419,0.26958467290543797,0.2820754960966334,,0.8
