seed,method,n_pairs,n_positives,ranked_list_hash,p_at_50,ndcg_at_50,oracle_gap_at_50,p_at_100,ndcg_at_100,oracle_gap_at_100,p_at_250,ndcg_at_250,oracle_gap_at_250
117,HRS-only,3600,226,ef3bfb95746734e3,0.3,0.3241,70.0,0.27,0.2922,73.0,0.252,0.2907,72.12
117,Random,3600,226,c71dc3ea3283c2a3,0.04,0.0278,96.0,0.07,0.0561,93.0,0.064,0.0629,92.92
118,HygienePrio-full,3568,210,558d35131ee71884,0.46,0.4608,54.0,0.43,0.436,57.0,0.396,0.4607,52.86
118,HygienePrio-noInteraction,3568,210,0d7edbb545a3b6d2,0.44,0.4386,56.0,0.4,0.4079,60.0,0.392,0.4527,53.33
118,HygienePrio-noPatch,3568,210,a3272ecdcbbba20d,0.26,0.2593,74.0,0.25,0.2537,75.0,0.24,0.2777,71.43
118,HygienePrio-noAD,3568,210,74d8939cc2644995,0.36,0.3412,64.0,0.3,0.302,70.0,0.336,0.3778,60.0
118,HygienePrio-noFreshness,3568,210,07853ec33d225081,0.4,0.4062,60.0,0.4,0.4046,60.0,0.392,0.4507,53.33
118,EPSS-only,3568,210,1a1ae123176325d8,0.16,0.1293,84.0,0.18,0.156,82.0,0.18,0.1905,78.57
118,CVSS-only,3568,210,7cde035d32fd4981,0.04,0.0438,96.0,0.03,0.0342,97.0,0.068,0.0717,91.9
118,HRS-only,3568,210,11db831d069e48c8,0.38,0.4497,62.0,0.36,0.4066,64.0,0.288,0.3711,65.71
118,Random,3568,210,96a2982cc5f87d57,0.06,0.061,94.0,0.08,0.0758,92.0,0.084,0.0924,90.0
119,HygienePrio-full,3487,210,61b525239ea68f07,0.68,0.7334,32.0,0.53,0.5995,47.0,0.448,0.5684,46.67
119,HygienePrio-noInteraction,3487,210,df1c891c869ec386,0.66,0.7113,34.0,0.54,0.6001,46.0,0.444,0.5604,47.14
119,HygienePrio-noPatch,3487,210,0b447889deed3cc0,0.48,0.4953,52.0,0.39,0.4208,61.0,0.324,0.4026,61.43
119,HygienePrio-noAD,3487,210,2ffdcb4793d7c954,0.6,0.6616,40.0,0.46,0.531,54.0,0.388,0.4983,53.81
119,HygienePrio-noFreshness,3487,210,8c6f6e13ea3d9661,0.68,0.7312,32.0,0.53,0.5972,47.0,0.432,0.5516,48.57
119,EPSS-only,3487,210,77c3913941767078,0.4,0.4219,60.0,0.29,0.3283,71.0,0.252,0.3172,70.0
119,CVSS-only,3487,210,dd96ca684b05c8ec,0.04,0.0434,96.0,0.04,0.0423,96.0,0.056,0.0623,93.33
119,HRS-only,3487,210,f59eb37b3b45894b,0.32,0.286,68.0,0.36,0.3283,64.0,0.284,0.3203,66.19
119,Random,3487,210,458bc1e978899872,0.0,0.0,100.0,0.04,0.0309,96.0,0.044,0.0444,94.76
120,HygienePrio-full,3589,220,323b0398bb990b26,0.52,0.6047,48.0,0.5,0.5555,50.0,0.468,0.5531,46.82
120,HygienePrio-noInteraction,3589,220,2be63cf0ebd29b1b,0.46,0.5514,54.0,0.48,0.5323,52.0,0.468,0.5472,46.82
120,HygienePrio-noPatch,3589,220,b775478100e6ef02,0.38,0.4103,62.0,0.32,0.3517,68.0,0.312,0.3623,64.55
120,HygienePrio-noAD,3589,220,2dae968980ac1eda,0.44,0.5088,56.0,0.43,0.4756,57.0,0.428,0.4979,51.36
120,HygienePrio-noFreshness,3589,220,61e69a805c2f48ba,0.46,0.5557,54.0,0.49,0.543,51.0,0.46,0.542,47.73
120,EPSS-only,3589,220,3f6a7d87f369c063,0.22,0.2241,78.0,0.19,0.1997,81.0,0.252,0.271,71.36
120,CVSS-only,3589,220,6296e276f5063d39,0.02,0.0148,98.0,0.04,0.0314,96.0,0.044,0.043,95.0
120,HRS-only,3589,220,e670a9a4e8ec3eb4,0.26,0.2348,74.0,0.24,0.2291,76.0,0.268,0.2833,69.55
