seed,method,n_pairs,n_positives,ranked_list_hash,p_at_50,ndcg_at_50,oracle_gap_at_50,p_at_100,ndcg_at_100,oracle_gap_at_100,p_at_250,ndcg_at_250,oracle_gap_at_250
108,CVSS-only,3527,202,46505d2c3b15c17c,0.02,0.03,98.0,0.01,0.0185,99.0,0.04,0.0476,95.05
108,HRS-only,3527,202,02277b44d533f5e2,0.4,0.4256,60.0,0.34,0.3699,66.0,0.324,0.4023,59.9
108,Random,3527,202,4f6734d75ee528b6,0.02,0.0152,98.0,0.02,0.0178,98.0,0.052,0.0528,93.56
109,HygienePrio-full,3492,227,4e6aec4b063febdc,0.58,0.6303,42.0,0.51,0.5573,49.0,0.416,0.4925,54.19
109,HygienePrio-noInteraction,3492,227,0f0a3d3653ad2331,0.54,0.5912,46.0,0.48,0.5271,52.0,0.416,0.4869,54.19
109,HygienePrio-noPatch,3492,227,1cfea7fc42a875d0,0.38,0.409,62.0,0.3,0.3368,70.0,0.3,0.3457,66.96
109,HygienePrio-noAD,3492,227,d13a07df59936a35,0.5,0.5498,50.0,0.39,0.4451,61.0,0.368,0.4319,59.47
109,HygienePrio-noFreshness,3492,227,0a0d375281e187dd,0.54,0.5978,46.0,0.48,0.5315,52.0,0.424,0.4953,53.3
109,EPSS-only,3492,227,06d076508611f535,0.2,0.2185,80.0,0.23,0.2324,77.0,0.236,0.2535,74.01
109,CVSS-only,3492,227,ca2dbffff8b7e601,0.04,0.0581,96.0,0.05,0.0584,95.0,0.068,0.0737,92.51
109,HRS-only,3492,227,81f3e311b198ced5,0.34,0.4031,66.0,0.35,0.3894,65.0,0.308,0.3617,66.08
109,Random,3492,227,12b3729a2dc9310d,0.04,0.0381,96.0,0.09,0.0772,91.0,0.072,0.0746,92.07
110,HygienePrio-full,3544,244,7e5bc68c30ad2256,0.52,0.5575,48.0,0.47,0.5058,53.0,0.46,0.4902,52.87
110,HygienePrio-noInteraction,3544,244,c710e2388857b7cc,0.5,0.5377,50.0,0.45,0.4853,55.0,0.464,0.489,52.46
110,HygienePrio-noPatch,3544,244,16873b618a89f3dd,0.3,0.3495,70.0,0.32,0.3457,68.0,0.312,0.3341,68.03
110,HygienePrio-noAD,3544,244,2da16ff8e5813138,0.38,0.4041,62.0,0.33,0.3571,67.0,0.404,0.4121,58.61
110,HygienePrio-noFreshness,3544,244,cff99acae4300008,0.5,0.5061,50.0,0.47,0.4806,53.0,0.44,0.4605,54.92
110,EPSS-only,3544,244,7425267f8cd2aa50,0.22,0.2028,78.0,0.2,0.1934,80.0,0.244,0.2358,75.0
110,CVSS-only,3544,244,dd72ca9862e7e9d4,0.1,0.0983,90.0,0.08,0.0833,92.0,0.056,0.063,94.26
110,HRS-only,3544,244,a961e0e51051672f,0.32,0.3591,68.0,0.34,0.3618,66.0,0.284,0.3101,70.9
110,Random,3544,244,5ff424dec4df8d99,0.06,0.1002,94.0,0.1,0.1158,90.0,0.084,0.0966,91.39
111,HygienePrio-full,3393,220,8424125fb22051ee,0.56,0.636,44.0,0.46,0.5293,54.0,0.44,0.5289,50.0
111,HygienePrio-noInteraction,3393,220,db4a56418dd2a4d7,0.54,0.6133,46.0,0.45,0.5148,55.0,0.436,0.5205,50.45
111,HygienePrio-noPatch,3393,220,6f58669f8729099c,0.3,0.3038,70.0,0.26,0.2727,74.0,0.296,0.3272,66.36
111,HygienePrio-noAD,3393,220,01c206b8d2082819,0.52,0.5941,48.0,0.39,0.467,61.0,0.368,0.4548,58.18
111,HygienePrio-noFreshness,3393,220,ac60d8b8ecf08d83,0.52,0.6027,48.0,0.45,0.5167,55.0,0.432,0.517,50.91
111,EPSS-only,3393,220,b0eaaa5f4df65829,0.24,0.2112,76.0,0.22,0.2056,78.0,0.228,0.2415,74.09
111,CVSS-only,3393,220,cc9cdbd1c8ef8260,0.08,0.0779,92.0,0.09,0.086,91.0,0.064,0.0737,92.73
111,HRS-only,3393,220,1dc64a49a1f31e49,0.32,0.378,68.0,0.25,0.3016,75.0,0.28,0.3309,68.18
111,Random,3393,220,83d984ef1305edff,0.06,0.0791,94.0,0.05,0.0634,95.0,0.08,0.0908,90.91
112,HygienePrio-full,3496,210,6c8e09160e8db371,0.52,0.5848,48.0,0.43,0.4923,57.0,0.436,0.5321,48.1
112,HygienePrio-noInteraction,3496,210,e9e896fb82369c1b,0.5,0.561,50.0,0.42,0.4777,58.0,0.428,0.52,49.05
112,HygienePrio-noPatch,3496,210,e5d0d8b7897ce440,0.26,0.354,74.0,0.28,0.3328,72.0,0.28,0.3501,66.67
112,HygienePrio-noAD,3496,210,b7e311347efacb38,0.44,0.4855,56.0,0.38,0.4241,62.0,0.364,0.4437,56.67
112,HygienePrio-noFreshness,3496,210,97c41e881201050a,0.52,0.5817,48.0,0.42,0.4831,58.0,0.428,0.5234,49.05
112,EPSS-only,3496,210,5889806cbd03da35,0.18,0.2078,82.0,0.21,0.22,79.0,0.208,0.244,75.24
