method,k,metric,mean,ci_lo,ci_hi
CAP-G-noZone,100,mwp,0.222,0.2048,0.2388
CAP-G-noZone,100,pblind,0.188,0.1736,0.2024
CAP-G-noZone,100,cwer,0.6284,0.6102,0.6492
CAP-G-noZone,100,ndcg,0.6782,0.6544,0.6991
CAP-G-noZone,250,mwp,0.105,0.097,0.1128
CAP-G-noZone,250,pblind,0.0928,0.087,0.0974
CAP-G-noZone,250,cwer,0.6941,0.675,0.7124
CAP-G-noZone,250,ndcg,0.7369,0.7148,0.7554
CAP-G-noSens,50,mwp,0.3656,0.336,0.3936
CAP-G-noSens,50,pblind,0.2848,0.2624,0.3008
CAP-G-noSens,50,cwer,0.8024,0.7862,0.8168
CAP-G-noSens,50,ndcg,0.6248,0.5981,0.6486
CAP-G-noSens,100,mwp,0.23,0.2112,0.2476
CAP-G-noSens,100,pblind,0.194,0.1796,0.2076
CAP-G-noSens,100,cwer,0.6404,0.6205,0.6611
CAP-G-noSens,100,ndcg,0.7049,0.6833,0.7223
CAP-G-noSens,250,mwp,0.1069,0.099,0.1134
CAP-G-noSens,250,pblind,0.0955,0.0891,0.1013
CAP-G-noSens,250,cwer,0.6988,0.6867,0.7111
CAP-G-noSens,250,ndcg,0.7604,0.744,0.7763
CAP-G-hwm,50,mwp,0.3232,0.3008,0.3448
CAP-G-hwm,50,pblind,0.3008,0.2832,0.3184
CAP-G-hwm,50,cwer,0.8008,0.7852,0.8158
CAP-G-hwm,50,ndcg,0.5065,0.4757,0.5374
CAP-G-hwm,100,mwp,0.2228,0.2064,0.238
CAP-G-hwm,100,pblind,0.2012,0.1888,0.212
CAP-G-hwm,100,cwer,0.6691,0.651,0.6884
CAP-G-hwm,100,ndcg,0.6102,0.5817,0.6348
CAP-G-hwm,250,mwp,0.1034,0.0952,0.1107
CAP-G-hwm,250,pblind,0.0963,0.0904,0.1016
CAP-G-hwm,250,cwer,0.7087,0.696,0.7207
CAP-G-hwm,250,ndcg,0.6605,0.6341,0.683
