seed,method,fleet_type,n_pairs,n_mctp,n_blind,mwp_at_50,pblind_at_50,ndcg_at_50,cwer_at_50,mwp_at_100,pblind_at_100,ndcg_at_100,cwer_at_100,mwp_at_250,pblind_at_250,ndcg_at_250,cwer_at_250
218,EPSS-only,heterogeneous,3542,24,28,0.18,0.28,0.2787,0.741,0.21,0.26,0.5269,0.9244,0.096,0.112,0.5826,1.0
218,CVSS-only,heterogeneous,3542,24,28,0.02,0.02,0.0255,0.0205,0.01,0.02,0.0255,0.0188,0.008,0.008,0.0432,0.0614
218,Random,heterogeneous,3542,24,28,0.0,0.04,0.0,0.0235,0.0,0.02,0.0,0.028,0.004,0.012,0.0182,0.0603
218,HRS-only,heterogeneous,3542,24,28,0.02,0.04,0.0248,0.0349,0.01,0.06,0.0248,0.0601,0.016,0.06,0.0735,0.1294
218,Context-only,heterogeneous,3542,24,28,0.02,0.0,0.1263,0.0348,0.06,0.03,0.2248,0.0981,0.044,0.012,0.305,0.1552
218,HygienePrio,heterogeneous,3542,24,28,0.22,0.34,0.3325,0.7656,0.17,0.26,0.4575,0.7258,0.08,0.112,0.5093,0.8124
218,CAP-G-full,heterogeneous,3542,24,28,0.26,0.3,0.6235,0.791,0.19,0.23,0.749,0.6486,0.084,0.108,0.7848,0.7488
218,CAP-G-noCrit,heterogeneous,3542,24,28,0.28,0.36,0.6327,0.8041,0.18,0.23,0.7141,0.6271,0.084,0.108,0.7674,0.7384
218,CAP-G-noZone,heterogeneous,3542,24,28,0.3,0.3,0.6199,0.8042,0.18,0.18,0.6812,0.6155,0.088,0.104,0.7473,0.7317
218,CAP-G-noSens,heterogeneous,3542,24,28,0.28,0.32,0.6111,0.7648,0.18,0.2,0.6957,0.6072,0.088,0.108,0.7674,0.7417
218,CAP-G-hwm,heterogeneous,3542,24,28,0.26,0.3,0.5907,0.8456,0.19,0.2,0.7142,0.6626,0.084,0.1,0.7475,0.7215
219,EPSS-only,heterogeneous,3543,35,27,0.28,0.18,0.3122,0.7738,0.26,0.21,0.5012,0.8865,0.14,0.108,0.6289,1.0
219,CVSS-only,heterogeneous,3543,35,27,0.02,0.0,0.0188,0.0197,0.01,0.0,0.0188,0.0115,0.004,0.0,0.0188,0.0362
219,Random,heterogeneous,3543,35,27,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0239,0.024,0.004,0.0799,0.0962
219,HRS-only,heterogeneous,3543,35,27,0.0,0.04,0.0,0.0225,0.0,0.02,0.0,0.0131,0.004,0.024,0.0138,0.0402
219,Context-only,heterogeneous,3543,35,27,0.0,0.0,0.0,0.0,0.05,0.01,0.0791,0.0731,0.052,0.004,0.1828,0.1467
219,HygienePrio,heterogeneous,3543,35,27,0.3,0.2,0.3269,0.7818,0.22,0.25,0.4372,0.7759,0.112,0.108,0.5175,0.7933
219,CAP-G-full,heterogeneous,3543,35,27,0.36,0.22,0.6019,0.8424,0.27,0.17,0.7447,0.7698,0.116,0.076,0.7728,0.702
219,CAP-G-noCrit,heterogeneous,3543,35,27,0.36,0.22,0.5068,0.7991,0.23,0.12,0.5862,0.6946,0.108,0.08,0.6431,0.6694
219,CAP-G-noZone,heterogeneous,3543,35,27,0.32,0.24,0.5587,0.8151,0.23,0.16,0.6743,0.6448,0.104,0.084,0.7169,0.6663
219,CAP-G-noSens,heterogeneous,3543,35,27,0.34,0.26,0.5857,0.8274,0.27,0.18,0.7481,0.716,0.116,0.084,0.7768,0.6942
219,CAP-G-hwm,heterogeneous,3543,35,27,0.36,0.22,0.4596,0.8366,0.27,0.16,0.5972,0.7667,0.116,0.08,0.6254,0.7168
220,EPSS-only,heterogeneous,3441,45,34,0.26,0.2,0.3107,0.708,0.29,0.22,0.5298,0.8563,0.18,0.136,0.72,1.0
220,CVSS-only,heterogeneous,3441,45,34,0.02,0.0,0.0175,0.0415,0.02,0.01,0.0301,0.0349,0.012,0.008,0.0411,0.0542
220,Random,heterogeneous,3441,45,34,0.06,0.0,0.0789,0.0609,0.03,0.0,0.0789,0.0525,0.02,0.008,0.102,0.0927
220,HRS-only,heterogeneous,3441,45,34,0.0,0.02,0.0,0.0171,0.0,0.02,0.0,0.0165,0.012,0.048,0.0328,0.082
220,Context-only,heterogeneous,3441,45,34,0.06,0.02,0.0524,0.0782,0.06,0.02,0.0916,0.0864,0.04,0.008,0.1349,0.105
220,HygienePrio,heterogeneous,3441,45,34,0.24,0.36,0.2203,0.7058,0.27,0.28,0.4237,0.7706,0.136,0.136,0.5064,0.7189
220,CAP-G-full,heterogeneous,3441,45,34,0.42,0.28,0.5263,0.8093,0.32,0.26,0.6775,0.7476,0.14,0.124,0.7126,0.6799
220,CAP-G-noCrit,heterogeneous,3441,45,34,0.32,0.34,0.3412,0.7684,0.26,0.21,0.4803,0.6427,0.136,0.108,0.5737,0.6427
220,CAP-G-noZone,heterogeneous,3441,45,34,0.5,0.3,0.6039,0.8438,0.3,0.27,0.6702,0.6797,0.144,0.116,0.7378,0.6459
220,CAP-G-noSens,heterogeneous,3441,45,34,0.48,0.32,0.5971,0.837,0.31,0.23,0.6923,0.6972,0.14,0.12,0.7381,0.6642
220,CAP-G-hwm,heterogeneous,3441,45,34,0.32,0.32,0.4067,0.7504,0.31,0.23,0.6128,0.7206,0.14,0.116,0.6579,0.6559
221,EPSS-only,heterogeneous,3501,32,23,0.28,0.24,0.3687,0.7537,0.28,0.19,0.6079,0.9257,0.128,0.092,0.6691,1.0
221,CVSS-only,heterogeneous,3501,32,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.004,0.0299,0.0379
221,Random,heterogeneous,3501,32,23,0.0,0.0,0.0,0.0324,0.02,0.0,0.0334,0.0503,0.008,0.008,0.0334,0.0764
221,HRS-only,heterogeneous,3501,32,23,0.0,0.04,0.0,0.0279,0.0,0.03,0.0,0.0217,0.008,0.032,0.0276,0.0683
221,Context-only,heterogeneous,3501,32,23,0.02,0.02,0.0202,0.0277,0.01,0.01,0.0202,0.0168,0.028,0.008,0.1051,0.0946
221,HygienePrio,heterogeneous,3501,32,23,0.26,0.26,0.3157,0.7437,0.23,0.21,0.4929,0.7376,0.108,0.092,0.5515,0.8103
221,CAP-G-full,heterogeneous,3501,32,23,0.44,0.28,0.7253,0.863,0.24,0.18,0.7603,0.6593,0.12,0.084,0.8457,0.7408
221,CAP-G-noCrit,heterogeneous,3501,32,23,0.36,0.28,0.5788,0.8019,0.24,0.19,0.6838,0.6584,0.104,0.088,0.7107,0.661
221,CAP-G-noZone,heterogeneous,3501,32,23,0.46,0.28,0.706,0.8662,0.24,0.16,0.7218,0.6155,0.116,0.08,0.7926,0.6853
221,CAP-G-noSens,heterogeneous,3501,32,23,0.44,0.28,0.7257,0.8215,0.23,0.16,0.7435,0.64,0.12,0.08,0.8433,0.7311
221,CAP-G-hwm,heterogeneous,3501,32,23,0.42,0.3,0.6559,0.8515,0.25,0.19,0.7246,0.6878,0.112,0.08,0.7646,0.6862
222,EPSS-only,heterogeneous,3423,28,18,0.26,0.22,0.4441,0.7999,0.26,0.18,0.6827,0.9739,0.112,0.072,0.7167,1.0
222,CVSS-only,heterogeneous,3423,28,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109,0.012,0.004,0.0462,0.0699
222,Random,heterogeneous,3423,28,18,0.0,0.0,0.0,0.0123,0.0,0.0,0.0,0.0076,0.008,0.004,0.0323,0.0627
222,HRS-only,heterogeneous,3423,28,18,0.0,0.02,0.0,0.0126,0.0,0.03,0.0,0.0278,0.004,0.032,0.016,0.079
222,Context-only,heterogeneous,3423,28,18,0.0,0.0,0.0,0.0,0.03,0.0,0.0533,0.0484,0.02,0.0,0.0826,0.0766
222,HygienePrio,heterogeneous,3423,28,18,0.26,0.26,0.4461,0.8076,0.19,0.17,0.5592,0.7008,0.088,0.072,0.6025,0.8007
222,CAP-G-full,heterogeneous,3423,28,18,0.36,0.24,0.6582,0.8557,0.21,0.14,0.7147,0.6515,0.096,0.064,0.7605,0.7443
222,CAP-G-noCrit,heterogeneous,3423,28,18,0.32,0.28,0.5282,0.7909,0.19,0.14,0.584,0.5863,0.092,0.068,0.6451,0.7105
222,CAP-G-noZone,heterogeneous,3423,28,18,0.34,0.24,0.6198,0.8132,0.19,0.13,0.6562,0.5991,0.088,0.06,0.704,0.7145
222,CAP-G-noSens,heterogeneous,3423,28,18,0.36,0.22,0.6755,0.838,0.19,0.13,0.6955,0.5904,0.1,0.064,0.793,0.7157
222,CAP-G-hwm,heterogeneous,3423,28,18,0.28,0.26,0.5314,0.7458,0.23,0.16,0.6988,0.7057,0.092,0.068,0.6988,0.7387
223,EPSS-only,heterogeneous,3465,33,30,0.24,0.24,0.3621,0.7795,0.26,0.23,0.5939,0.9136,0.132,0.12,0.6988,1.0
223,CVSS-only,heterogeneous,3465,33,30,0.02,0.02,0.0209,0.0337,0.02,0.01,0.038,0.0474,0.016,0.02,0.0661,0.0888
223,Random,heterogeneous,3465,33,30,0.04,0.04,0.0392,0.059,0.04,0.02,0.0719,0.0657,0.02,0.008,0.0849,0.0826
223,HRS-only,heterogeneous,3465,33,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.032,0.0428,0.0603
223,Context-only,heterogeneous,3465,33,30,0.04,0.02,0.0364,0.0506,0.02,0.01,0.0364,0.029,0.04,0.012,0.1456,0.115
223,HygienePrio,heterogeneous,3465,33,30,0.24,0.3,0.2612,0.7818,0.25,0.26,0.4762,0.8203,0.112,0.12,0.5191,0.8121
223,CAP-G-full,heterogeneous,3465,33,30,0.34,0.28,0.5489,0.8356,0.28,0.24,0.7334,0.7743,0.124,0.112,0.7745,0.7921
223,CAP-G-noCrit,heterogeneous,3465,33,30,0.34,0.28,0.4391,0.8237,0.23,0.2,0.5406,0.7055,0.108,0.104,0.5991,0.7223
223,CAP-G-noZone,heterogeneous,3465,33,30,0.34,0.32,0.5515,0.8273,0.27,0.23,0.7165,0.7515,0.124,0.104,0.7741,0.7781
223,CAP-G-noSens,heterogeneous,3465,33,30,0.36,0.26,0.575,0.83,0.26,0.23,0.7073,0.712,0.12,0.112,0.7658,0.7681
223,CAP-G-hwm,heterogeneous,3465,33,30,0.32,0.28,0.396,0.8353,0.26,0.23,0.5639,0.747,0.116,0.108,0.6069,0.7552
224,EPSS-only,heterogeneous,3562,18,22,0.22,0.26,0.3737,0.8146,0.16,0.19,0.4956,0.9182,0.072,0.088,0.5405,1.0
224,CVSS-only,heterogeneous,3562,18,22,0.02,0.0,0.0327,0.0243,0.02,0.0,0.0561,0.0286,0.012,0.004,0.0775,0.0962
224,Random,heterogeneous,3562,18,22,0.02,0.0,0.0272,0.04,0.01,0.0,0.0272,0.0354,0.004,0.004,0.0272,0.0738
224,HRS-only,heterogeneous,3562,18,22,0.02,0.06,0.0274,0.0554,0.01,0.03,0.0274,0.0327,0.004,0.028,0.0274,0.0607
224,Context-only,heterogeneous,3562,18,22,0.02,0.02,0.1519,0.0334,0.04,0.01,0.2253,0.0695,0.016,0.004,0.2253,0.0631
224,HygienePrio,heterogeneous,3562,18,22,0.2,0.28,0.3961,0.8028,0.13,0.19,0.4722,0.7283,0.056,0.088,0.4935,0.7791
224,CAP-G-full,heterogeneous,3562,18,22,0.24,0.26,0.6628,0.7599,0.14,0.16,0.7147,0.615,0.06,0.08,0.7346,0.7068
224,CAP-G-noCrit,heterogeneous,3562,18,22,0.2,0.24,0.5895,0.6707,0.12,0.15,0.6387,0.5394,0.06,0.08,0.6996,0.6825
224,CAP-G-noZone,heterogeneous,3562,18,22,0.26,0.28,0.6441,0.8022,0.13,0.16,0.6441,0.5395,0.06,0.068,0.6871,0.6261
224,CAP-G-noSens,heterogeneous,3562,18,22,0.26,0.26,0.6631,0.7761,0.14,0.15,0.6886,0.5836,0.06,0.072,0.7107,0.6792
224,CAP-G-hwm,heterogeneous,3562,18,22,0.22,0.32,0.607,0.7813,0.13,0.16,0.655,0.5907,0.06,0.072,0.6959,0.6977
