tau,cell_K,cell_lambda,seed,window,strategy,p_at_50
0.02,50,3.0,112,2,offline,0.66
0.02,50,3.0,113,2,fixed,0.58
0.02,50,3.0,113,2,lag1,0.8
0.02,50,3.0,113,2,adaptive,0.58
0.02,50,3.0,113,2,gated,0.8
0.02,50,3.0,113,2,offline,0.82
0.02,50,3.0,114,2,fixed,0.44
0.02,50,3.0,114,2,lag1,0.72
0.02,50,3.0,114,2,adaptive,0.44
0.02,50,3.0,114,2,gated,0.72
0.02,50,3.0,114,2,offline,0.7
0.02,50,3.0,115,2,fixed,0.5
0.02,50,3.0,115,2,lag1,0.66
0.02,50,3.0,115,2,adaptive,0.5
0.02,50,3.0,115,2,gated,0.66
0.02,50,3.0,115,2,offline,0.7
0.02,50,3.0,116,2,fixed,0.64
0.02,50,3.0,116,2,lag1,0.58
0.02,50,3.0,116,2,adaptive,0.64
0.02,50,3.0,116,2,gated,0.58
0.02,50,3.0,116,2,offline,0.62
0.02,50,3.0,117,2,fixed,0.5
0.02,50,3.0,117,2,lag1,0.82
0.02,50,3.0,117,2,adaptive,0.5
0.02,50,3.0,117,2,gated,0.82
0.02,50,3.0,117,2,offline,0.82
0.02,50,3.0,118,2,fixed,0.56
0.02,50,3.0,118,2,lag1,0.72
0.02,50,3.0,118,2,adaptive,0.56
0.02,50,3.0,118,2,gated,0.72
0.02,50,3.0,118,2,offline,0.74
0.02,50,3.0,119,2,fixed,0.5
0.02,50,3.0,119,2,lag1,0.64
0.02,50,3.0,119,2,adaptive,0.5
0.02,50,3.0,119,2,gated,0.64
0.02,50,3.0,119,2,offline,0.66
0.02,50,3.0,120,2,fixed,0.54
0.02,50,3.0,120,2,lag1,0.6
0.02,50,3.0,120,2,adaptive,0.54
0.02,50,3.0,120,2,gated,0.6
0.02,50,3.0,120,2,offline,0.66
0.02,50,3.0,121,2,fixed,0.54
0.02,50,3.0,121,2,lag1,0.7
0.02,50,3.0,121,2,adaptive,0.54
0.02,50,3.0,121,2,gated,0.7
0.02,50,3.0,121,2,offline,0.72
0.02,50,3.0,122,2,fixed,0.6
0.02,50,3.0,122,2,lag1,0.86
0.02,50,3.0,122,2,adaptive,0.6
