seed,axis,config,p_detect,n_rings,expected_blast,convergence_cost
1113,config,6-ring,0.8,6,0.012887500000000001,5
1113,detect,4-ring,0.2,4,0.5957224999999999,3
1113,detect,4-ring,0.5,4,0.2225575,3
1113,detect,4-ring,0.8,4,0.046380000000000005,3
1113,detect,4-ring,0.95,4,0.01592,3
1114,config,big-bang,0.8,1,1.0,0
1114,config,2-ring,0.8,2,0.24403749999999996,1
1114,config,4-ring,0.8,4,0.049002500000000004,3
1114,config,6-ring,0.8,6,0.012350000000000002,5
1114,detect,4-ring,0.2,4,0.5919449999999999,3
1114,detect,4-ring,0.5,4,0.21394249999999995,3
1114,detect,4-ring,0.8,4,0.049515,3
1114,detect,4-ring,0.95,4,0.014897500000000003,3
1115,config,big-bang,0.8,1,1.0,0
1115,config,2-ring,0.8,2,0.23501249999999996,1
1115,config,4-ring,0.8,4,0.047060000000000005,3
1115,config,6-ring,0.8,6,0.013120000000000001,5
1115,detect,4-ring,0.2,4,0.585115,3
1115,detect,4-ring,0.5,4,0.21600499999999997,3
1115,detect,4-ring,0.8,4,0.04221250000000001,3
1115,detect,4-ring,0.95,4,0.015625000000000003,3
1116,config,big-bang,0.8,1,1.0,0
1116,config,2-ring,0.8,2,0.24284999999999995,1
1116,config,4-ring,0.8,4,0.04753750000000001,3
1116,config,6-ring,0.8,6,0.011522500000000001,5
1116,detect,4-ring,0.2,4,0.5942999999999999,3
1116,detect,4-ring,0.5,4,0.21802749999999999,3
1116,detect,4-ring,0.8,4,0.046735000000000006,3
1116,detect,4-ring,0.95,4,0.015057500000000003,3
1117,config,big-bang,0.8,1,1.0,0
1117,config,2-ring,0.8,2,0.23311249999999994,1
1117,config,4-ring,0.8,4,0.0452825,3
1117,config,6-ring,0.8,6,0.0133275,5
1117,detect,4-ring,0.2,4,0.5877775,3
1117,detect,4-ring,0.5,4,0.21916999999999995,3
1117,detect,4-ring,0.8,4,0.048175,3
1117,detect,4-ring,0.95,4,0.014720000000000002,3
1118,config,big-bang,0.8,1,1.0,0
1118,config,2-ring,0.8,2,0.24237499999999995,1
1118,config,4-ring,0.8,4,0.044340000000000004,3
1118,config,6-ring,0.8,6,0.0122825,5
1118,detect,4-ring,0.2,4,0.60139,3
1118,detect,4-ring,0.5,4,0.21433,3
1118,detect,4-ring,0.8,4,0.04888,3
1118,detect,4-ring,0.95,4,0.015880000000000002,3
1119,config,big-bang,0.8,1,1.0,0
1119,config,2-ring,0.8,2,0.24379999999999996,1
1119,config,4-ring,0.8,4,0.048102500000000006,3
1119,config,6-ring,0.8,6,0.012033750000000001,5
1119,detect,4-ring,0.2,4,0.59836,3
1119,detect,4-ring,0.5,4,0.21333999999999997,3
1119,detect,4-ring,0.8,4,0.04944500000000001,3
1119,detect,4-ring,0.95,4,0.01501,3
1120,config,big-bang,0.8,1,1.0,0
1120,config,2-ring,0.8,2,0.24926249999999994,1
1120,config,4-ring,0.8,4,0.0507675,3
1120,config,6-ring,0.8,6,0.013767500000000002,5
1120,detect,4-ring,0.2,4,0.5940625,3
1120,detect,4-ring,0.5,4,0.21837499999999996,3
1120,detect,4-ring,0.8,4,0.047482500000000004,3
1120,detect,4-ring,0.95,4,0.016035,3
1121,config,big-bang,0.8,1,1.0,0
