seed,condition,detector,n_pos,ap,p_at_k
705,Mixed,LocalOutlierFactor,120,0.6725,0.6083
706,SDA,Rule-Max,120,0.8254,0.7417
706,SDA,Rule-Count,120,0.7248,0.7417
706,SDA,Mahalanobis,120,0.559,0.5667
706,SDA,IsolationForest,120,0.709,0.6667
706,SDA,OneClassSVM,120,0.5153,0.4917
706,SDA,LocalOutlierFactor,120,0.3162,0.35
706,CDA,Rule-Max,120,0.1114,0.1333
706,CDA,Rule-Count,120,0.0842,0.075
706,CDA,Mahalanobis,120,0.7319,0.6417
706,CDA,IsolationForest,120,0.107,0.1167
706,CDA,OneClassSVM,120,0.2595,0.3
706,CDA,LocalOutlierFactor,120,0.6398,0.6083
706,Mixed,Rule-Max,120,0.5565,0.5083
706,Mixed,Rule-Count,120,0.4676,0.5083
706,Mixed,Mahalanobis,120,0.6702,0.5917
706,Mixed,IsolationForest,120,0.497,0.4417
706,Mixed,OneClassSVM,120,0.5754,0.5167
706,Mixed,LocalOutlierFactor,120,0.6359,0.5333
707,SDA,Rule-Max,120,0.8549,0.775
707,SDA,Rule-Count,120,0.8164,0.7917
707,SDA,Mahalanobis,120,0.5742,0.5167
707,SDA,IsolationForest,120,0.7748,0.6917
707,SDA,OneClassSVM,120,0.6267,0.5333
707,SDA,LocalOutlierFactor,120,0.4452,0.4083
707,CDA,Rule-Max,120,0.1077,0.0833
707,CDA,Rule-Count,120,0.0846,0.1
707,CDA,Mahalanobis,120,0.7062,0.6417
707,CDA,IsolationForest,120,0.1018,0.075
707,CDA,OneClassSVM,120,0.266,0.275
707,CDA,LocalOutlierFactor,120,0.6452,0.5917
707,Mixed,Rule-Max,120,0.4452,0.4083
707,Mixed,Rule-Count,120,0.3322,0.375
707,Mixed,Mahalanobis,120,0.6977,0.6333
707,Mixed,IsolationForest,120,0.3934,0.3667
707,Mixed,OneClassSVM,120,0.5297,0.4917
707,Mixed,LocalOutlierFactor,120,0.7058,0.6583
708,SDA,Rule-Max,120,0.8342,0.7333
708,SDA,Rule-Count,120,0.7338,0.7167
708,SDA,Mahalanobis,120,0.6163,0.5583
708,SDA,IsolationForest,120,0.7326,0.6417
708,SDA,OneClassSVM,120,0.5417,0.5
708,SDA,LocalOutlierFactor,120,0.3492,0.375
708,CDA,Rule-Max,120,0.1003,0.1083
708,CDA,Rule-Count,120,0.0828,0.1083
708,CDA,Mahalanobis,120,0.7001,0.6333
708,CDA,IsolationForest,120,0.1016,0.0667
708,CDA,OneClassSVM,120,0.2343,0.3167
708,CDA,LocalOutlierFactor,120,0.6231,0.625
708,Mixed,Rule-Max,120,0.4733,0.4333
708,Mixed,Rule-Count,120,0.3308,0.3917
708,Mixed,Mahalanobis,120,0.7271,0.6583
708,Mixed,IsolationForest,120,0.3894,0.3583
708,Mixed,OneClassSVM,120,0.5296,0.5
708,Mixed,LocalOutlierFactor,120,0.6771,0.6333
709,SDA,Rule-Max,120,0.8425,0.7583
709,SDA,Rule-Count,120,0.7075,0.7333
709,SDA,Mahalanobis,120,0.5635,0.5083
709,SDA,IsolationForest,120,0.7251,0.6667
709,SDA,OneClassSVM,120,0.5258,0.5083
709,SDA,LocalOutlierFactor,120,0.4156,0.4333
709,CDA,Rule-Max,120,0.1003,0.1083
709,CDA,Rule-Count,120,0.0842,0.1
709,CDA,Mahalanobis,120,0.7538,0.6917
709,CDA,IsolationForest,120,0.1092,0.0667
709,CDA,OneClassSVM,120,0.2852,0.325
709,CDA,LocalOutlierFactor,120,0.6904,0.65
709,Mixed,Rule-Max,120,0.4796,0.45
709,Mixed,Rule-Count,120,0.4041,0.425
709,Mixed,Mahalanobis,120,0.6808,0.6083
709,Mixed,IsolationForest,120,0.4508,0.4167
709,Mixed,OneClassSVM,120,0.5593,0.525
709,Mixed,LocalOutlierFactor,120,0.6472,0.5833
710,SDA,Rule-Max,120,0.8445,0.7417
710,SDA,Rule-Count,120,0.7266,0.725
710,SDA,Mahalanobis,120,0.6269,0.5667
710,SDA,IsolationForest,120,0.7699,0.6833
710,SDA,OneClassSVM,120,0.6309,0.5833
710,SDA,LocalOutlierFactor,120,0.5478,0.4917
710,CDA,Rule-Max,120,0.0928,0.0917
710,CDA,Rule-Count,120,0.0792,0.0833
710,CDA,Mahalanobis,120,0.6778,0.5917
710,CDA,IsolationForest,120,0.0994,0.0417
710,CDA,OneClassSVM,120,0.2691,0.3
710,CDA,LocalOutlierFactor,120,0.5986,0.5417
710,Mixed,Rule-Max,120,0.4856,0.4333
710,Mixed,Rule-Count,120,0.357,0.4333
710,Mixed,Mahalanobis,120,0.6952,0.6083
710,Mixed,IsolationForest,120,0.3725,0.375
710,Mixed,OneClassSVM,120,0.5346,0.5083
710,Mixed,LocalOutlierFactor,120,0.6459,0.625
711,SDA,Rule-Max,120,0.8745,0.7833
711,SDA,Rule-Count,120,0.7983,0.7667
711,SDA,Mahalanobis,120,0.6079,0.5833
711,SDA,IsolationForest,120,0.7955,0.7333
711,SDA,OneClassSVM,120,0.5427,0.5417
711,SDA,LocalOutlierFactor,120,0.3713,0.425
711,CDA,Rule-Max,120,0.1148,0.15
711,CDA,Rule-Count,120,0.0961,0.1667
711,CDA,Mahalanobis,120,0.7252,0.6333
711,CDA,IsolationForest,120,0.1031,0.075
711,CDA,OneClassSVM,120,0.2771,0.325
711,CDA,LocalOutlierFactor,120,0.6879,0.6167
711,Mixed,Rule-Max,120,0.4972,0.475
711,Mixed,Rule-Count,120,0.3639,0.4417
711,Mixed,Mahalanobis,120,0.6674,0.5833
711,Mixed,IsolationForest,120,0.3896,0.4333
711,Mixed,OneClassSVM,120,0.4596,0.475
711,Mixed,LocalOutlierFactor,120,0.5436,0.5333
712,SDA,Rule-Max,120,0.8072,0.7667
712,SDA,Rule-Count,120,0.6834,0.6833
712,SDA,Mahalanobis,120,0.5706,0.525
712,SDA,IsolationForest,120,0.6898,0.6
712,SDA,OneClassSVM,120,0.51,0.5
712,SDA,LocalOutlierFactor,120,0.3443,0.3583
712,CDA,Rule-Max,120,0.0996,0.0667
712,CDA,Rule-Count,120,0.0828,0.075
712,CDA,Mahalanobis,120,0.7245,0.6667
712,CDA,IsolationForest,120,0.1105,0.075
712,CDA,OneClassSVM,120,0.2569,0.2917
712,CDA,LocalOutlierFactor,120,0.639,0.6167
712,Mixed,Rule-Max,120,0.4915,0.45
712,Mixed,Rule-Count,120,0.4092,0.4333
712,Mixed,Mahalanobis,120,0.6832,0.625
712,Mixed,IsolationForest,120,0.4382,0.425
712,Mixed,OneClassSVM,120,0.5264,0.4917
712,Mixed,LocalOutlierFactor,120,0.641,0.625
713,SDA,Rule-Max,120,0.8608,0.775
713,SDA,Rule-Count,120,0.779,0.7833
713,SDA,Mahalanobis,120,0.5579,0.55
713,SDA,IsolationForest,120,0.7509,0.675
713,SDA,OneClassSVM,120,0.5165,0.5
713,SDA,LocalOutlierFactor,120,0.344,0.3667
713,CDA,Rule-Max,120,0.0935,0.075
713,CDA,Rule-Count,120,0.0795,0.05
713,CDA,Mahalanobis,120,0.7082,0.6417
713,CDA,IsolationForest,120,0.1024,0.0583
713,CDA,OneClassSVM,120,0.2235,0.2833
713,CDA,LocalOutlierFactor,120,0.6396,0.625
713,Mixed,Rule-Max,120,0.3785,0.375
713,Mixed,Rule-Count,120,0.2727,0.325
713,Mixed,Mahalanobis,120,0.6564,0.5583
713,Mixed,IsolationForest,120,0.3411,0.3167
713,Mixed,OneClassSVM,120,0.4884,0.45
713,Mixed,LocalOutlierFactor,120,0.6382,0.5917
714,SDA,Rule-Max,120,0.7867,0.7083
714,SDA,Rule-Count,120,0.6918,0.75
714,SDA,Mahalanobis,120,0.6136,0.5833
714,SDA,IsolationForest,120,0.7296,0.7083
714,SDA,OneClassSVM,120,0.5384,0.5417
714,SDA,LocalOutlierFactor,120,0.3416,0.3833
714,CDA,Rule-Max,120,0.1012,0.125
714,CDA,Rule-Count,120,0.0836,0.0917
714,CDA,Mahalanobis,120,0.6929,0.6167
714,CDA,IsolationForest,120,0.1083,0.0917
714,CDA,OneClassSVM,120,0.286,0.3167
714,CDA,LocalOutlierFactor,120,0.6431,0.5833
714,Mixed,Rule-Max,120,0.4153,0.3917
714,Mixed,Rule-Count,120,0.323,0.3833
714,Mixed,Mahalanobis,120,0.7631,0.6833
714,Mixed,IsolationForest,120,0.3338,0.375
714,Mixed,OneClassSVM,120,0.5172,0.5
714,Mixed,LocalOutlierFactor,120,0.728,0.675
715,SDA,Rule-Max,120,0.8326,0.7583
715,SDA,Rule-Count,120,0.7648,0.7333
715,SDA,Mahalanobis,120,0.6113,0.5833
715,SDA,IsolationForest,120,0.7631,0.6917
715,SDA,OneClassSVM,120,0.5591,0.5667
715,SDA,LocalOutlierFactor,120,0.4121,0.3833
715,CDA,Rule-Max,120,0.1041,0.1167
715,CDA,Rule-Count,120,0.084,0.1083
715,CDA,Mahalanobis,120,0.7064,0.625
715,CDA,IsolationForest,120,0.1055,0.1
715,CDA,OneClassSVM,120,0.2751,0.3333
715,CDA,LocalOutlierFactor,120,0.6571,0.6083
715,Mixed,Rule-Max,120,0.3823,0.3667
715,Mixed,Rule-Count,120,0.3138,0.3583
715,Mixed,Mahalanobis,120,0.6602,0.6
715,Mixed,IsolationForest,120,0.3463,0.3333
715,Mixed,OneClassSVM,120,0.4799,0.475
715,Mixed,LocalOutlierFactor,120,0.6272,0.6083
716,SDA,Rule-Max,120,0.8276,0.775
716,SDA,Rule-Count,120,0.7037,0.725
716,SDA,Mahalanobis,120,0.6061,0.5417
716,SDA,IsolationForest,120,0.7348,0.6833
716,SDA,OneClassSVM,120,0.5322,0.5167
716,SDA,LocalOutlierFactor,120,0.3477,0.3833
716,CDA,Rule-Max,120,0.1001,0.1083
716,CDA,Rule-Count,120,0.0816,0.0917
716,CDA,Mahalanobis,120,0.6984,0.6167
716,CDA,IsolationForest,120,0.1072,0.075
716,CDA,OneClassSVM,120,0.2431,0.2917
716,CDA,LocalOutlierFactor,120,0.5826,0.575
716,Mixed,Rule-Max,120,0.454,0.4417
716,Mixed,Rule-Count,120,0.3488,0.4083
716,Mixed,Mahalanobis,120,0.646,0.575
716,Mixed,IsolationForest,120,0.4189,0.3833
716,Mixed,OneClassSVM,120,0.5267,0.5167
716,Mixed,LocalOutlierFactor,120,0.6257,0.575
717,SDA,Rule-Max,120,0.8892,0.7917
717,SDA,Rule-Count,120,0.8237,0.8083
717,SDA,Mahalanobis,120,0.642,0.5917
717,SDA,IsolationForest,120,0.8641,0.7667
717,SDA,OneClassSVM,120,0.6309,0.575
717,SDA,LocalOutlierFactor,120,0.4778,0.4917
717,CDA,Rule-Max,120,0.0999,0.0917
717,CDA,Rule-Count,120,0.0811,0.0917
717,CDA,Mahalanobis,120,0.7086,0.6417
717,CDA,IsolationForest,120,0.1077,0.1
717,CDA,OneClassSVM,120,0.2848,0.3583
717,CDA,LocalOutlierFactor,120,0.6527,0.6333
717,Mixed,Rule-Max,120,0.4621,0.4167
717,Mixed,Rule-Count,120,0.3621,0.4083
717,Mixed,Mahalanobis,120,0.6322,0.6
717,Mixed,IsolationForest,120,0.4064,0.3833
717,Mixed,OneClassSVM,120,0.4943,0.4833
717,Mixed,LocalOutlierFactor,120,0.5785,0.575
718,SDA,Rule-Max,120,0.7972,0.7083
718,SDA,Rule-Count,120,0.6582,0.675
718,SDA,Mahalanobis,120,0.5453,0.5167
718,SDA,IsolationForest,120,0.6953,0.6167
718,SDA,OneClassSVM,120,0.5351,0.5
718,SDA,LocalOutlierFactor,120,0.3187,0.35
718,CDA,Rule-Max,120,0.1003,0.1167
718,CDA,Rule-Count,120,0.0808,0.0917
718,CDA,Mahalanobis,120,0.6909,0.6333
718,CDA,IsolationForest,120,0.1007,0.0583
718,CDA,OneClassSVM,120,0.2473,0.2917
718,CDA,LocalOutlierFactor,120,0.6203,0.5833
718,Mixed,Rule-Max,120,0.4348,0.4083
718,Mixed,Rule-Count,120,0.3367,0.3583
718,Mixed,Mahalanobis,120,0.712,0.65
718,Mixed,IsolationForest,120,0.3365,0.3417
718,Mixed,OneClassSVM,120,0.5264,0.4667
718,Mixed,LocalOutlierFactor,120,0.6819,0.6167
719,SDA,Rule-Max,120,0.8254,0.7667
719,SDA,Rule-Count,120,0.7197,0.75
719,SDA,Mahalanobis,120,0.5468,0.4917
719,SDA,IsolationForest,120,0.739,0.6917
719,SDA,OneClassSVM,120,0.5224,0.5
719,SDA,LocalOutlierFactor,120,0.3171,0.3667
719,CDA,Rule-Max,120,0.1046,0.1167
719,CDA,Rule-Count,120,0.0836,0.0833
719,CDA,Mahalanobis,120,0.6917,0.65
719,CDA,IsolationForest,120,0.1081,0.0417
719,CDA,OneClassSVM,120,0.2413,0.3083
719,CDA,LocalOutlierFactor,120,0.5892,0.5583
719,Mixed,Rule-Max,120,0.5058,0.4583
719,Mixed,Rule-Count,120,0.4087,0.425
719,Mixed,Mahalanobis,120,0.7565,0.6833
719,Mixed,IsolationForest,120,0.4291,0.3917
719,Mixed,OneClassSVM,120,0.568,0.5333
719,Mixed,LocalOutlierFactor,120,0.7436,0.7083
720,SDA,Rule-Max,120,0.8463,0.775
720,SDA,Rule-Count,120,0.7425,0.725
720,SDA,Mahalanobis,120,0.5884,0.5333
720,SDA,IsolationForest,120,0.7199,0.6583
720,SDA,OneClassSVM,120,0.5585,0.5333
720,SDA,LocalOutlierFactor,120,0.3427,0.35
720,CDA,Rule-Max,120,0.1114,0.125
720,CDA,Rule-Count,120,0.0849,0.1
720,CDA,Mahalanobis,120,0.6711,0.6167
720,CDA,IsolationForest,120,0.1023,0.0833
720,CDA,OneClassSVM,120,0.2708,0.3167
720,CDA,LocalOutlierFactor,120,0.6396,0.6333
720,Mixed,Rule-Max,120,0.4796,0.4417
720,Mixed,Rule-Count,120,0.3534,0.4
720,Mixed,Mahalanobis,120,0.6801,0.5917
720,Mixed,IsolationForest,120,0.3986,0.4083
720,Mixed,OneClassSVM,120,0.527,0.5417
720,Mixed,LocalOutlierFactor,120,0.6364,0.6167
721,SDA,Rule-Max,120,0.8698,0.8083
721,SDA,Rule-Count,120,0.7327,0.7333
721,SDA,Mahalanobis,120,0.6113,0.5583
721,SDA,IsolationForest,120,0.7427,0.6833
721,SDA,OneClassSVM,120,0.5802,0.55
721,SDA,LocalOutlierFactor,120,0.4264,0.4667
721,CDA,Rule-Max,120,0.1154,0.1167
721,CDA,Rule-Count,120,0.085,0.125
721,CDA,Mahalanobis,120,0.6857,0.625
721,CDA,IsolationForest,120,0.1114,0.0917
721,CDA,OneClassSVM,120,0.2584,0.3
721,CDA,LocalOutlierFactor,120,0.6077,0.6
721,Mixed,Rule-Max,120,0.5624,0.5083
721,Mixed,Rule-Count,120,0.4849,0.4917
721,Mixed,Mahalanobis,120,0.7428,0.65
721,Mixed,IsolationForest,120,0.5138,0.4833
721,Mixed,OneClassSVM,120,0.5973,0.5333
721,Mixed,LocalOutlierFactor,120,0.7165,0.6083
722,SDA,Rule-Max,120,0.812,0.7333
722,SDA,Rule-Count,120,0.7147,0.7
722,SDA,Mahalanobis,120,0.5865,0.5333
722,SDA,IsolationForest,120,0.7383,0.6667
722,SDA,OneClassSVM,120,0.5427,0.5333
722,SDA,LocalOutlierFactor,120,0.3371,0.325
722,CDA,Rule-Max,120,0.1085,0.1
722,CDA,Rule-Count,120,0.0845,0.0833
722,CDA,Mahalanobis,120,0.6845,0.625
722,CDA,IsolationForest,120,0.1047,0.0667
722,CDA,OneClassSVM,120,0.2659,0.3417
722,CDA,LocalOutlierFactor,120,0.6221,0.6
722,Mixed,Rule-Max,120,0.5013,0.4833
722,Mixed,Rule-Count,120,0.3526,0.4333
722,Mixed,Mahalanobis,120,0.7184,0.6333
722,Mixed,IsolationForest,120,0.4122,0.4333
722,Mixed,OneClassSVM,120,0.5097,0.525
722,Mixed,LocalOutlierFactor,120,0.6342,0.6333
723,SDA,Rule-Max,120,0.8045,0.75
723,SDA,Rule-Count,120,0.6879,0.7167
723,SDA,Mahalanobis,120,0.5683,0.4833
723,SDA,IsolationForest,120,0.7258,0.675
723,SDA,OneClassSVM,120,0.5427,0.5083
723,SDA,LocalOutlierFactor,120,0.3589,0.375
723,CDA,Rule-Max,120,0.0924,0.1083
723,CDA,Rule-Count,120,0.0837,0.1
723,CDA,Mahalanobis,120,0.6862,0.65
723,CDA,IsolationForest,120,0.1,0.0583
723,CDA,OneClassSVM,120,0.2674,0.3
723,CDA,LocalOutlierFactor,120,0.6468,0.625
723,Mixed,Rule-Max,120,0.5079,0.45
723,Mixed,Rule-Count,120,0.4024,0.4417
723,Mixed,Mahalanobis,120,0.7503,0.65
723,Mixed,IsolationForest,120,0.4424,0.3917
723,Mixed,OneClassSVM,120,0.5788,0.5167
723,Mixed,LocalOutlierFactor,120,0.7119,0.6167
724,SDA,Rule-Max,120,0.8266,0.7417
724,SDA,Rule-Count,120,0.7028,0.7417
724,SDA,Mahalanobis,120,0.557,0.5333
724,SDA,IsolationForest,120,0.7316,0.6917
724,SDA,OneClassSVM,120,0.4841,0.525
724,SDA,LocalOutlierFactor,120,0.3262,0.3667
724,CDA,Rule-Max,120,0.1033,0.0667
724,CDA,Rule-Count,120,0.0803,0.075
724,CDA,Mahalanobis,120,0.7431,0.675
724,CDA,IsolationForest,120,0.0941,0.025
724,CDA,OneClassSVM,120,0.2358,0.2917
724,CDA,LocalOutlierFactor,120,0.6864,0.65
724,Mixed,Rule-Max,120,0.468,0.425
724,Mixed,Rule-Count,120,0.3604,0.4083
724,Mixed,Mahalanobis,120,0.6754,0.6083
724,Mixed,IsolationForest,120,0.4089,0.425
724,Mixed,OneClassSVM,120,0.5252,0.5083
724,Mixed,LocalOutlierFactor,120,0.6636,0.5917
