seed,sigma,method,n_mcetp,mwp_at_50,ndcg_at_50,mwp_at_100,ndcg_at_100,mwp_at_250,ndcg_at_250
501,0.5,EPSS-matured-oracle,41,0.44,0.6254,0.37,0.8393,0.16,0.8785
501,0.5,CVSS-only,41,0.4,0.4789,0.32,0.6519,0.156,0.7401
501,0.5,Random,41,0.02,0.0191,0.01,0.0191,0.004,0.0191
501,0.5,Context-only,41,0.1,0.0881,0.07,0.117,0.036,0.1406
501,0.5,PTI-full,41,0.42,0.6092,0.37,0.8384,0.16,0.8771
501,0.5,PTI-noObs,41,0.48,0.663,0.35,0.8196,0.156,0.8695
501,0.5,PTI-noCrit,41,0.32,0.37,0.34,0.6305,0.16,0.707
501,0.75,EPSS-day0,41,0.38,0.4787,0.34,0.6931,0.16,0.7682
501,0.75,CAP-day0,41,0.4,0.5801,0.37,0.8244,0.16,0.8612
501,0.75,EPSS-matured-oracle,41,0.44,0.6254,0.37,0.8393,0.16,0.8785
501,0.75,CVSS-only,41,0.4,0.4762,0.29,0.6057,0.16,0.7404
501,0.75,Random,41,0.0,0.0,0.0,0.0,0.008,0.024
501,0.75,Context-only,41,0.1,0.0881,0.07,0.117,0.036,0.1406
501,0.75,PTI-full,41,0.44,0.6321,0.36,0.8336,0.16,0.8839
501,0.75,PTI-noObs,41,0.46,0.6551,0.31,0.7695,0.16,0.881
501,0.75,PTI-noCrit,41,0.38,0.4718,0.32,0.6615,0.16,0.7627
501,1.0,EPSS-day0,41,0.28,0.2966,0.29,0.5119,0.156,0.6364
501,1.0,CAP-day0,41,0.34,0.5268,0.31,0.7296,0.156,0.8297
501,1.0,EPSS-matured-oracle,41,0.44,0.6254,0.37,0.8393,0.16,0.8785
501,1.0,CVSS-only,41,0.32,0.3605,0.29,0.5495,0.148,0.6486
501,1.0,Random,41,0.0,0.0,0.0,0.0,0.012,0.0353
501,1.0,Context-only,41,0.1,0.0881,0.07,0.117,0.036,0.1406
501,1.0,PTI-full,41,0.4,0.5938,0.33,0.7793,0.164,0.8779
501,1.0,PTI-noObs,41,0.42,0.6129,0.31,0.7563,0.16,0.8654
501,1.0,PTI-noCrit,41,0.36,0.4258,0.28,0.5701,0.164,0.7318
502,0.0,EPSS-day0,39,0.24,0.2516,0.27,0.4691,0.148,0.6029
502,0.0,CAP-day0,39,0.28,0.4836,0.33,0.7594,0.148,0.8137
502,0.0,EPSS-matured-oracle,39,0.3,0.5127,0.33,0.7742,0.148,0.8286
502,0.0,CVSS-only,39,0.3,0.2921,0.23,0.4103,0.14,0.5633
502,0.0,Random,39,0.0,0.0,0.0,0.0,0.008,0.0257
502,0.0,Context-only,39,0.06,0.0664,0.06,0.1111,0.032,0.1355
502,0.0,PTI-full,39,0.3,0.528,0.33,0.7895,0.148,0.8439
502,0.0,PTI-noObs,39,0.38,0.5622,0.25,0.651,0.144,0.7927
502,0.0,PTI-noCrit,39,0.28,0.2849,0.27,0.4715,0.148,0.6053
502,0.25,EPSS-day0,39,0.24,0.252,0.25,0.441,0.148,0.6005
502,0.25,CAP-day0,39,0.26,0.4601,0.31,0.7226,0.148,0.8035
502,0.25,EPSS-matured-oracle,39,0.3,0.5127,0.33,0.7742,0.148,0.8286
502,0.25,CVSS-only,39,0.28,0.2983,0.21,0.4043,0.14,0.5805
502,0.25,Random,39,0.04,0.0363,0.02,0.0363,0.012,0.0479
502,0.25,Context-only,39,0.06,0.0664,0.06,0.1111,0.032,0.1355
502,0.25,PTI-full,39,0.28,0.4915,0.31,0.7391,0.148,0.8202
502,0.25,PTI-noObs,39,0.36,0.5724,0.25,0.6741,0.144,0.8126
502,0.25,PTI-noCrit,39,0.24,0.2817,0.25,0.4705,0.148,0.63
502,0.5,EPSS-day0,39,0.24,0.2487,0.25,0.4395,0.148,0.5966
502,0.5,CAP-day0,39,0.28,0.4802,0.29,0.7002,0.148,0.8058
502,0.5,EPSS-matured-oracle,39,0.3,0.5127,0.33,0.7742,0.148,0.8286
502,0.5,CVSS-only,39,0.28,0.2871,0.25,0.4487,0.148,0.602
502,0.5,Random,39,0.02,0.0166,0.02,0.0325,0.008,0.0325
502,0.5,Context-only,39,0.06,0.0664,0.06,0.1111,0.032,0.1355
502,0.5,PTI-full,39,0.3,0.5257,0.3,0.7455,0.148,0.8389
502,0.5,PTI-noObs,39,0.36,0.5734,0.29,0.7351,0.152,0.8494
502,0.5,PTI-noCrit,39,0.26,0.2989,0.26,0.4872,0.148,0.6326
502,0.75,EPSS-day0,39,0.26,0.2671,0.25,0.4442,0.136,0.5599
502,0.75,CAP-day0,39,0.32,0.5071,0.26,0.656,0.144,0.7842
502,0.75,EPSS-matured-oracle,39,0.3,0.5127,0.33,0.7742,0.148,0.8286
502,0.75,CVSS-only,39,0.28,0.3016,0.23,0.4389,0.14,0.5923
502,0.75,Random,39,0.02,0.0224,0.03,0.0522,0.016,0.0652
502,0.75,Context-only,39,0.06,0.0664,0.06,0.1111,0.032,0.1355
502,0.75,PTI-full,39,0.34,0.5539,0.26,0.6874,0.148,0.8326
502,0.75,PTI-noObs,39,0.38,0.5809,0.27,0.6975,0.14,0.8007
502,0.75,PTI-noCrit,39,0.28,0.2752,0.24,0.4221,0.144,0.5798
502,1.0,EPSS-day0,39,0.26,0.304,0.23,0.4504,0.136,0.5901
502,1.0,CAP-day0,39,0.3,0.4788,0.26,0.6418,0.144,0.7683
502,1.0,EPSS-matured-oracle,39,0.3,0.5127,0.33,0.7742,0.148,0.8286
502,1.0,CVSS-only,39,0.24,0.2874,0.27,0.5124,0.148,0.6377
502,1.0,Random,39,0.0,0.0,0.02,0.0304,0.012,0.0428
502,1.0,Context-only,39,0.06,0.0664,0.06,0.1111,0.032,0.1355
502,1.0,PTI-full,39,0.34,0.5548,0.3,0.7482,0.148,0.8394
502,1.0,PTI-noObs,39,0.38,0.5832,0.28,0.7191,0.148,0.8355
502,1.0,PTI-noCrit,39,0.28,0.3474,0.26,0.5243,0.148,0.6659
503,0.0,EPSS-day0,26,0.22,0.2872,0.23,0.5137,0.104,0.5669
503,0.0,CAP-day0,26,0.24,0.4813,0.26,0.7494,0.104,0.7494
503,0.0,EPSS-matured-oracle,26,0.24,0.5183,0.26,0.7872,0.104,0.7872
503,0.0,CVSS-only,26,0.14,0.24,0.16,0.4142,0.1,0.5671
503,0.0,Random,26,0.0,0.0,0.02,0.0385,0.012,0.0539
503,0.0,Context-only,26,0.02,0.0258,0.02,0.0456,0.024,0.1101
503,0.0,PTI-full,26,0.24,0.5168,0.25,0.7669,0.104,0.7849
503,0.0,PTI-noObs,26,0.2,0.4658,0.19,0.6368,0.104,0.7545
503,0.0,PTI-noCrit,26,0.22,0.2867,0.23,0.5128,0.104,0.5659
503,0.25,EPSS-day0,26,0.22,0.3627,0.21,0.5547,0.104,0.6425
503,0.25,CAP-day0,26,0.24,0.4787,0.23,0.6923,0.104,0.7458
503,0.25,EPSS-matured-oracle,26,0.24,0.5183,0.26,0.7872,0.104,0.7872
503,0.25,CVSS-only,26,0.24,0.3165,0.18,0.4324,0.104,0.5708
503,0.25,Random,26,0.0,0.0,0.0,0.0,0.008,0.0342
503,0.25,Context-only,26,0.02,0.0258,0.02,0.0456,0.024,0.1101
503,0.25,PTI-full,26,0.24,0.52,0.24,0.7525,0.104,0.7881
503,0.25,PTI-noObs,26,0.28,0.5501,0.22,0.7038,0.104,0.7732
503,0.25,PTI-noCrit,26,0.2,0.342,0.22,0.5726,0.104,0.6429
503,0.5,EPSS-day0,26,0.22,0.2719,0.23,0.5032,0.104,0.5555
503,0.5,CAP-day0,26,0.28,0.5275,0.24,0.7218,0.104,0.7572
