seed,sigma,method,n_mcetp,mwp_at_50,ndcg_at_50,mwp_at_100,ndcg_at_100,mwp_at_250,ndcg_at_250
507,0.0,PTI-noCrit,29,0.24,0.3186,0.25,0.5487,0.116,0.6144
507,0.25,EPSS-day0,29,0.24,0.3374,0.22,0.5155,0.116,0.6292
507,0.25,CAP-day0,29,0.24,0.5286,0.28,0.814,0.116,0.8295
507,0.25,EPSS-matured-oracle,29,0.24,0.5521,0.28,0.8397,0.116,0.8546
507,0.25,CVSS-only,29,0.22,0.279,0.17,0.3871,0.112,0.5562
507,0.25,Random,29,0.02,0.0311,0.02,0.0492,0.012,0.0639
507,0.25,Context-only,29,0.02,0.0237,0.01,0.0237,0.008,0.038
507,0.25,PTI-full,29,0.24,0.5375,0.29,0.8413,0.116,0.8413
507,0.25,PTI-noObs,29,0.24,0.5233,0.22,0.7027,0.116,0.8073
507,0.25,PTI-noCrit,29,0.24,0.3239,0.23,0.5199,0.116,0.6177
507,0.5,EPSS-day0,29,0.26,0.3642,0.21,0.5093,0.116,0.6371
507,0.5,CAP-day0,29,0.28,0.5705,0.25,0.7668,0.116,0.8313
507,0.5,EPSS-matured-oracle,29,0.24,0.5521,0.28,0.8397,0.116,0.8546
507,0.5,CVSS-only,29,0.22,0.3286,0.2,0.4956,0.116,0.6341
507,0.5,Random,29,0.0,0.0,0.0,0.0,0.0,0.0
507,0.5,Context-only,29,0.02,0.0237,0.01,0.0237,0.008,0.038
507,0.5,PTI-full,29,0.26,0.5636,0.26,0.7976,0.116,0.846
507,0.5,PTI-noObs,29,0.28,0.5805,0.21,0.7099,0.116,0.835
507,0.5,PTI-noCrit,29,0.24,0.3832,0.23,0.5799,0.116,0.6764
507,0.75,EPSS-day0,29,0.22,0.3554,0.21,0.5398,0.116,0.6635
507,0.75,CAP-day0,29,0.24,0.5181,0.22,0.7035,0.116,0.8145
507,0.75,EPSS-matured-oracle,29,0.24,0.5521,0.28,0.8397,0.116,0.8546
507,0.75,CVSS-only,29,0.2,0.3829,0.2,0.5618,0.108,0.6741
507,0.75,Random,29,0.0,0.0,0.0,0.0,0.0,0.0
507,0.75,Context-only,29,0.02,0.0237,0.01,0.0237,0.008,0.038
507,0.75,PTI-full,29,0.28,0.5633,0.23,0.7258,0.116,0.8218
507,0.75,PTI-noObs,29,0.26,0.5323,0.22,0.6917,0.112,0.7872
507,0.75,PTI-noCrit,29,0.24,0.3775,0.23,0.5736,0.116,0.6664
507,1.0,EPSS-day0,29,0.28,0.4108,0.2,0.5221,0.112,0.6467
507,1.0,CAP-day0,29,0.34,0.6527,0.22,0.7417,0.112,0.8357
507,1.0,EPSS-matured-oracle,29,0.24,0.5521,0.28,0.8397,0.116,0.8546
507,1.0,CVSS-only,29,0.24,0.4369,0.18,0.5452,0.108,0.6841
507,1.0,Random,29,0.02,0.0432,0.01,0.0432,0.004,0.0432
507,1.0,Context-only,29,0.02,0.0237,0.01,0.0237,0.008,0.038
507,1.0,PTI-full,29,0.26,0.565,0.23,0.7445,0.116,0.8408
507,1.0,PTI-noObs,29,0.26,0.5462,0.21,0.6907,0.112,0.7971
507,1.0,PTI-noCrit,29,0.26,0.3894,0.2,0.5137,0.116,0.6561
508,0.0,EPSS-day0,30,0.2,0.3124,0.24,0.5605,0.12,0.6551
508,0.0,CAP-day0,30,0.3,0.5172,0.27,0.7283,0.12,0.7764
508,0.0,EPSS-matured-oracle,30,0.32,0.5888,0.27,0.7824,0.12,0.8306
508,0.0,CVSS-only,30,0.24,0.2751,0.23,0.4696,0.12,0.5763
508,0.0,Random,30,0.0,0.0,0.01,0.0178,0.004,0.0178
508,0.0,Context-only,30,0.08,0.0994,0.05,0.1176,0.04,0.1898
508,0.0,PTI-full,30,0.32,0.5888,0.27,0.7821,0.12,0.8302
508,0.0,PTI-noObs,30,0.34,0.6314,0.23,0.7413,0.12,0.8515
508,0.0,PTI-noCrit,30,0.2,0.3124,0.24,0.5602,0.12,0.6547
508,0.25,EPSS-day0,30,0.22,0.2668,0.23,0.4782,0.12,0.5893
508,0.25,CAP-day0,30,0.3,0.5308,0.27,0.7399,0.12,0.7878
508,0.25,EPSS-matured-oracle,30,0.32,0.5888,0.27,0.7824,0.12,0.8306
508,0.25,CVSS-only,30,0.12,0.1361,0.21,0.4,0.112,0.508
508,0.25,Random,30,0.0,0.0,0.0,0.0,0.012,0.0458
508,0.25,Context-only,30,0.08,0.0994,0.05,0.1176,0.04,0.1898
508,0.25,PTI-full,30,0.3,0.5879,0.28,0.8154,0.12,0.847
508,0.25,PTI-noObs,30,0.26,0.4901,0.22,0.652,0.116,0.7598
508,0.25,PTI-noCrit,30,0.24,0.2901,0.22,0.4655,0.12,0.5927
508,0.5,EPSS-day0,30,0.22,0.2698,0.23,0.4795,0.12,0.5884
508,0.5,CAP-day0,30,0.28,0.5281,0.26,0.7375,0.12,0.8003
508,0.5,EPSS-matured-oracle,30,0.32,0.5888,0.27,0.7824,0.12,0.8306
508,0.5,CVSS-only,30,0.16,0.184,0.19,0.3787,0.112,0.5173
508,0.5,Random,30,0.0,0.0,0.01,0.0172,0.008,0.0313
508,0.5,Context-only,30,0.08,0.0994,0.05,0.1176,0.04,0.1898
508,0.5,PTI-full,30,0.28,0.5676,0.26,0.779,0.12,0.8417
508,0.5,PTI-noObs,30,0.32,0.5511,0.22,0.655,0.116,0.7621
508,0.5,PTI-noCrit,30,0.22,0.2808,0.23,0.4904,0.12,0.5994
508,0.75,EPSS-day0,30,0.14,0.2543,0.21,0.5052,0.12,0.6466
508,0.75,CAP-day0,30,0.3,0.5255,0.24,0.683,0.12,0.7787
508,0.75,EPSS-matured-oracle,30,0.32,0.5888,0.27,0.7824,0.12,0.8306
508,0.75,CVSS-only,30,0.18,0.228,0.22,0.4582,0.12,0.5819
508,0.75,Random,30,0.0,0.0,0.0,0.0,0.008,0.0282
508,0.75,Context-only,30,0.08,0.0994,0.05,0.1176,0.04,0.1898
508,0.75,PTI-full,30,0.34,0.5792,0.26,0.7358,0.12,0.7998
508,0.75,PTI-noObs,30,0.3,0.5576,0.25,0.7333,0.12,0.8117
508,0.75,PTI-noCrit,30,0.2,0.3123,0.22,0.526,0.12,0.6518
508,1.0,EPSS-day0,30,0.22,0.2488,0.22,0.4438,0.12,0.5677
508,1.0,CAP-day0,30,0.28,0.4311,0.25,0.6272,0.12,0.7052
508,1.0,EPSS-matured-oracle,30,0.32,0.5888,0.27,0.7824,0.12,0.8306
508,1.0,CVSS-only,30,0.2,0.2218,0.21,0.4144,0.116,0.5391
508,1.0,Random,30,0.02,0.0295,0.01,0.0295,0.004,0.0295
508,1.0,Context-only,30,0.08,0.0994,0.05,0.1176,0.04,0.1898
508,1.0,PTI-full,30,0.3,0.5347,0.27,0.7468,0.12,0.7938
508,1.0,PTI-noObs,30,0.32,0.5801,0.24,0.7201,0.116,0.7988
508,1.0,PTI-noCrit,30,0.18,0.202,0.24,0.4639,0.12,0.5573
509,0.0,EPSS-day0,39,0.38,0.4039,0.36,0.6535,0.156,0.6945
509,0.0,CAP-day0,39,0.44,0.6115,0.39,0.8619,0.156,0.8619
509,0.0,EPSS-matured-oracle,39,0.46,0.6475,0.39,0.8831,0.156,0.8831
509,0.0,CVSS-only,39,0.32,0.4241,0.34,0.6978,0.156,0.7633
509,0.0,Random,39,0.0,0.0,0.0,0.0,0.008,0.0249
509,0.0,Context-only,39,0.04,0.0752,0.05,0.1207,0.04,0.1796
509,0.0,PTI-full,39,0.46,0.6475,0.38,0.8693,0.156,0.8831
509,0.0,PTI-noObs,39,0.46,0.6569,0.36,0.8531,0.156,0.8926
509,0.0,PTI-noCrit,39,0.38,0.4039,0.36,0.6535,0.156,0.6944
509,0.25,EPSS-day0,39,0.4,0.5008,0.37,0.7489,0.156,0.7758
509,0.25,CAP-day0,39,0.44,0.6164,0.38,0.8536,0.156,0.8672
509,0.25,EPSS-matured-oracle,39,0.46,0.6475,0.39,0.8831,0.156,0.8831
509,0.25,CVSS-only,39,0.38,0.4805,0.3,0.643,0.148,0.7334
509,0.25,Random,39,0.02,0.0163,0.01,0.0163,0.02,0.0666
509,0.25,Context-only,39,0.04,0.0752,0.05,0.1207,0.04,0.1796
509,0.25,PTI-full,39,0.48,0.6664,0.38,0.8725,0.156,0.8861
509,0.25,PTI-noObs,39,0.44,0.6436,0.31,0.7785,0.148,0.8572
509,0.25,PTI-noCrit,39,0.38,0.4572,0.37,0.7217,0.156,0.7486
509,0.5,EPSS-day0,39,0.32,0.3466,0.37,0.6588,0.156,0.6853
509,0.5,CAP-day0,39,0.4,0.5643,0.38,0.8336,0.156,0.8468
509,0.5,EPSS-matured-oracle,39,0.46,0.6475,0.39,0.8831,0.156,0.8831
509,0.5,CVSS-only,39,0.34,0.4802,0.32,0.7065,0.156,0.7943
509,0.5,Random,39,0.0,0.0,0.0,0.0,0.008,0.0262
509,0.5,Context-only,39,0.04,0.0752,0.05,0.1207,0.04,0.1796
509,0.5,PTI-full,39,0.42,0.6106,0.38,0.8652,0.156,0.8785
509,0.5,PTI-noObs,39,0.44,0.628,0.33,0.7956,0.156,0.8721
509,0.5,PTI-noCrit,39,0.34,0.3894,0.36,0.6713,0.156,0.7116
509,0.75,EPSS-day0,39,0.38,0.4344,0.33,0.6426,0.156,0.7223
509,0.75,CAP-day0,39,0.42,0.5861,0.35,0.7961,0.156,0.8496
509,0.75,EPSS-matured-oracle,39,0.46,0.6475,0.39,0.8831,0.156,0.8831
509,0.75,CVSS-only,39,0.34,0.3563,0.33,0.5957,0.156,0.6757
509,0.75,Random,39,0.02,0.0165,0.02,0.0317,0.008,0.0317
509,0.75,Context-only,39,0.04,0.0752,0.05,0.1207,0.04,0.1796
509,0.75,PTI-full,39,0.42,0.6134,0.39,0.8836,0.156,0.8836
509,0.75,PTI-noObs,39,0.44,0.6369,0.34,0.8181,0.156,0.8859
509,0.75,PTI-noCrit,39,0.36,0.3843,0.35,0.6372,0.156,0.6917
509,1.0,EPSS-day0,39,0.34,0.373,0.3,0.5638,0.156,0.6796
509,1.0,CAP-day0,39,0.4,0.5756,0.32,0.7522,0.156,0.844
509,1.0,EPSS-matured-oracle,39,0.46,0.6475,0.39,0.8831,0.156,0.8831
509,1.0,CVSS-only,39,0.36,0.3928,0.31,0.5878,0.152,0.6771
509,1.0,Random,39,0.04,0.0571,0.04,0.0856,0.02,0.0987
509,1.0,Context-only,39,0.04,0.0752,0.05,0.1207,0.04,0.1796
509,1.0,PTI-full,39,0.44,0.6366,0.34,0.8157,0.156,0.8815
509,1.0,PTI-noObs,39,0.42,0.6376,0.33,0.8183,0.152,0.8825
509,1.0,PTI-noCrit,39,0.32,0.3582,0.33,0.6117,0.156,0.6891
510,0.0,EPSS-day0,37,0.3,0.3741,0.25,0.5273,0.144,0.6767
510,0.0,CAP-day0,37,0.3,0.5129,0.31,0.7586,0.148,0.839
510,0.0,EPSS-matured-oracle,37,0.32,0.5486,0.31,0.7793,0.148,0.8598
510,0.0,CVSS-only,37,0.24,0.3525,0.23,0.5225,0.132,0.6556
510,0.0,Random,37,0.02,0.0187,0.01,0.0187,0.012,0.045
510,0.0,Context-only,37,0.08,0.1289,0.06,0.1587,0.068,0.3001
510,0.0,PTI-full,37,0.32,0.5485,0.3,0.7648,0.148,0.8594
510,0.0,PTI-noObs,37,0.34,0.5563,0.26,0.6923,0.136,0.7984
510,0.0,PTI-noCrit,37,0.3,0.4478,0.25,0.601,0.144,0.75
510,0.25,EPSS-day0,37,0.3,0.3825,0.26,0.5513,0.144,0.685
510,0.25,CAP-day0,37,0.32,0.5307,0.28,0.7181,0.148,0.8392
510,0.25,EPSS-matured-oracle,37,0.32,0.5486,0.31,0.7793,0.148,0.8598
510,0.25,CVSS-only,37,0.28,0.3452,0.23,0.4851,0.128,0.6032
510,0.25,Random,37,0.0,0.0,0.0,0.0,0.004,0.012
510,0.25,Context-only,37,0.08,0.1289,0.06,0.1587,0.068,0.3001
510,0.25,PTI-full,37,0.38,0.6061,0.3,0.7747,0.148,0.8683
510,0.25,PTI-noObs,37,0.38,0.6036,0.28,0.7411,0.132,0.8056
510,0.25,PTI-noCrit,37,0.32,0.3627,0.26,0.5163,0.144,0.6509
510,0.5,EPSS-day0,37,0.3,0.4349,0.24,0.5724,0.144,0.734
510,0.5,CAP-day0,37,0.34,0.5526,0.26,0.6909,0.148,0.8403
510,0.5,EPSS-matured-oracle,37,0.32,0.5486,0.31,0.7793,0.148,0.8598
510,0.5,CVSS-only,37,0.26,0.3545,0.24,0.5255,0.14,0.6695
510,0.5,Random,37,0.0,0.0,0.0,0.0,0.008,0.0254
510,0.5,Context-only,37,0.08,0.1289,0.06,0.1587,0.068,0.3001
510,0.5,PTI-full,37,0.38,0.6026,0.29,0.7535,0.148,0.8634
510,0.5,PTI-noObs,37,0.38,0.5945,0.26,0.7035,0.148,0.8499
510,0.5,PTI-noCrit,37,0.3,0.3558,0.25,0.5089,0.148,0.6704
510,0.75,EPSS-day0,37,0.26,0.3146,0.23,0.4702,0.14,0.6298
510,0.75,CAP-day0,37,0.34,0.5516,0.27,0.7036,0.144,0.8233
510,0.75,EPSS-matured-oracle,37,0.32,0.5486,0.31,0.7793,0.148,0.8598
510,0.75,CVSS-only,37,0.24,0.39,0.25,0.5875,0.14,0.7217
510,0.75,Random,37,0.0,0.0,0.0,0.0,0.0,0.0
510,0.75,Context-only,37,0.08,0.1289,0.06,0.1587,0.068,0.3001
510,0.75,PTI-full,37,0.36,0.5878,0.28,0.7392,0.148,0.8603
510,0.75,PTI-noObs,37,0.34,0.5677,0.28,0.7343,0.14,0.8291
510,0.75,PTI-noCrit,37,0.28,0.4135,0.23,0.5517,0.148,0.7391
510,1.0,EPSS-day0,37,0.32,0.4602,0.23,0.5686,0.14,0.7232
510,1.0,CAP-day0,37,0.36,0.5693,0.25,0.6783,0.144,0.8219
510,1.0,EPSS-matured-oracle,37,0.32,0.5486,0.31,0.7793,0.148,0.8598
510,1.0,CVSS-only,37,0.3,0.3485,0.24,0.4901,0.136,0.6251
510,1.0,Random,37,0.0,0.0,0.0,0.0,0.0,0.0
510,1.0,Context-only,37,0.08,0.1289,0.06,0.1587,0.068,0.3001
510,1.0,PTI-full,37,0.36,0.5923,0.28,0.7475,0.144,0.8546
510,1.0,PTI-noObs,37,0.42,0.6582,0.27,0.7496,0.144,0.8696
510,1.0,PTI-noCrit,37,0.3,0.4308,0.26,0.5987,0.144,0.7305
511,0.0,EPSS-day0,42,0.28,0.2578,0.33,0.5268,0.164,0.6266
511,0.0,CAP-day0,42,0.32,0.4629,0.38,0.7738,0.164,0.8114
511,0.0,EPSS-matured-oracle,42,0.36,0.5109,0.38,0.7924,0.164,0.8301
511,0.0,CVSS-only,42,0.26,0.2704,0.29,0.4987,0.16,0.6334
511,0.0,Random,42,0.0,0.0,0.01,0.0152,0.008,0.0278
511,0.0,Context-only,42,0.04,0.0478,0.02,0.0478,0.036,0.1317
511,0.0,PTI-full,42,0.36,0.5078,0.39,0.8021,0.168,0.8395
511,0.0,PTI-noObs,42,0.4,0.5282,0.31,0.6828,0.164,0.8067
511,0.0,PTI-noCrit,42,0.28,0.2718,0.33,0.5399,0.168,0.6522
511,0.25,EPSS-day0,42,0.28,0.2929,0.33,0.5618,0.164,0.6601
511,0.25,CAP-day0,42,0.32,0.4663,0.36,0.7506,0.164,0.8124
511,0.25,EPSS-matured-oracle,42,0.36,0.5109,0.38,0.7924,0.164,0.8301
511,0.25,CVSS-only,42,0.32,0.4459,0.31,0.66,0.156,0.7564
511,0.25,Random,42,0.02,0.0163,0.01,0.0163,0.008,0.0276
511,0.25,Context-only,42,0.04,0.0478,0.02,0.0478,0.036,0.1317
511,0.25,PTI-full,42,0.34,0.4966,0.36,0.7675,0.168,0.8421
511,0.25,PTI-noObs,42,0.42,0.6095,0.33,0.782,0.164,0.8775
511,0.25,PTI-noCrit,42,0.3,0.2928,0.33,0.547,0.168,0.6578
511,0.5,EPSS-day0,42,0.24,0.2354,0.32,0.5191,0.164,0.6316
511,0.5,CAP-day0,42,0.34,0.4756,0.36,0.7424,0.164,0.8056
511,0.5,EPSS-matured-oracle,42,0.36,0.5109,0.38,0.7924,0.164,0.8301
511,0.5,CVSS-only,42,0.24,0.2382,0.29,0.4816,0.164,0.6257
511,0.5,Random,42,0.0,0.0,0.0,0.0,0.016,0.0454
511,0.5,Context-only,42,0.04,0.0478,0.02,0.0478,0.036,0.1317
511,0.5,PTI-full,42,0.38,0.5251,0.34,0.736,0.164,0.8252
511,0.5,PTI-noObs,42,0.38,0.5271,0.31,0.6974,0.164,0.8188
511,0.5,PTI-noCrit,42,0.24,0.2611,0.32,0.5447,0.164,0.6569
511,0.75,EPSS-day0,42,0.3,0.328,0.29,0.5262,0.168,0.6859
511,0.75,CAP-day0,42,0.34,0.47,0.31,0.6711,0.168,0.8084
511,0.75,EPSS-matured-oracle,42,0.36,0.5109,0.38,0.7924,0.164,0.8301
511,0.75,CVSS-only,42,0.26,0.3213,0.26,0.5072,0.156,0.6661
511,0.75,Random,42,0.02,0.0172,0.01,0.0172,0.008,0.0295
511,0.75,Context-only,42,0.04,0.0478,0.02,0.0478,0.036,0.1317
511,0.75,PTI-full,42,0.34,0.4891,0.37,0.7703,0.168,0.8338
511,0.75,PTI-noObs,42,0.38,0.5174,0.3,0.6723,0.168,0.8177
511,0.75,PTI-noCrit,42,0.28,0.3255,0.33,0.5917,0.168,0.7043
511,1.0,EPSS-day0,42,0.22,0.2095,0.28,0.4522,0.16,0.5981
511,1.0,CAP-day0,42,0.32,0.469,0.3,0.6674,0.164,0.8015
511,1.0,EPSS-matured-oracle,42,0.36,0.5109,0.38,0.7924,0.164,0.8301
511,1.0,CVSS-only,42,0.24,0.2673,0.3,0.5231,0.16,0.6426
511,1.0,Random,42,0.0,0.0,0.01,0.015,0.008,0.0264
511,1.0,Context-only,42,0.04,0.0478,0.02,0.0478,0.036,0.1317
511,1.0,PTI-full,42,0.36,0.5089,0.36,0.7624,0.164,0.8228
511,1.0,PTI-noObs,42,0.38,0.531,0.32,0.716,0.16,0.8129
511,1.0,PTI-noCrit,42,0.24,0.2416,0.34,0.5497,0.164,0.6347
512,0.0,EPSS-day0,30,0.24,0.3044,0.23,0.4989,0.12,0.609
512,0.0,CAP-day0,30,0.32,0.5704,0.26,0.7454,0.12,0.8099
512,0.0,EPSS-matured-oracle,30,0.36,0.6465,0.27,0.8009,0.12,0.8491
512,0.0,CVSS-only,30,0.24,0.3201,0.23,0.5117,0.12,0.6197
512,0.0,Random,30,0.02,0.0241,0.03,0.0577,0.016,0.0724
512,0.0,Context-only,30,0.04,0.148,0.04,0.1812,0.04,0.2718
512,0.0,PTI-full,30,0.34,0.6236,0.26,0.7803,0.12,0.8448
512,0.0,PTI-noObs,30,0.34,0.636,0.26,0.7921,0.12,0.8534
512,0.0,PTI-noCrit,30,0.24,0.3225,0.23,0.5164,0.12,0.6264
512,0.25,EPSS-day0,30,0.22,0.2706,0.22,0.4674,0.12,0.5935
512,0.25,CAP-day0,30,0.28,0.5333,0.26,0.7462,0.12,0.8102
512,0.25,EPSS-matured-oracle,30,0.36,0.6465,0.27,0.8009,0.12,0.8491
512,0.25,CVSS-only,30,0.2,0.2529,0.23,0.4808,0.12,0.5885
512,0.25,Random,30,0.02,0.0267,0.01,0.0267,0.004,0.0267
512,0.25,Context-only,30,0.04,0.148,0.04,0.1812,0.04,0.2718
512,0.25,PTI-full,30,0.32,0.5993,0.28,0.8093,0.12,0.841
512,0.25,PTI-noObs,30,0.28,0.5472,0.25,0.7424,0.12,0.8198
512,0.25,PTI-noCrit,30,0.22,0.3382,0.23,0.5515,0.12,0.6616
512,0.5,EPSS-day0,30,0.24,0.3794,0.24,0.5886,0.12,0.6788
512,0.5,CAP-day0,30,0.26,0.5226,0.27,0.771,0.12,0.8156
512,0.5,EPSS-matured-oracle,30,0.36,0.6465,0.27,0.8009,0.12,0.8491
512,0.5,CVSS-only,30,0.18,0.2372,0.2,0.4334,0.116,0.574
512,0.5,Random,30,0.0,0.0,0.01,0.0187,0.004,0.0187
512,0.5,Context-only,30,0.04,0.148,0.04,0.1812,0.04,0.2718
512,0.5,PTI-full,30,0.3,0.574,0.27,0.7868,0.12,0.8328
512,0.5,PTI-noObs,30,0.3,0.5687,0.26,0.7612,0.12,0.8212
512,0.5,PTI-noCrit,30,0.24,0.3117,0.23,0.5064,0.12,0.6146
512,0.75,EPSS-day0,30,0.24,0.2821,0.17,0.3725,0.12,0.5729
512,0.75,CAP-day0,30,0.28,0.5331,0.19,0.6222,0.12,0.7956
512,0.75,EPSS-matured-oracle,30,0.36,0.6465,0.27,0.8009,0.12,0.8491
512,0.75,CVSS-only,30,0.22,0.3764,0.22,0.5735,0.112,0.666
512,0.75,Random,30,0.02,0.0262,0.01,0.0262,0.008,0.0409
512,0.75,Context-only,30,0.04,0.148,0.04,0.1812,0.04,0.2718
512,0.75,PTI-full,30,0.32,0.5946,0.25,0.7493,0.12,0.8267
512,0.75,PTI-noObs,30,0.32,0.5963,0.25,0.7569,0.116,0.8167
512,0.75,PTI-noCrit,30,0.22,0.2719,0.2,0.4313,0.12,0.5857
512,1.0,EPSS-day0,30,0.22,0.2701,0.19,0.4116,0.116,0.5654
512,1.0,CAP-day0,30,0.26,0.4621,0.22,0.6224,0.12,0.7448
512,1.0,EPSS-matured-oracle,30,0.36,0.6465,0.27,0.8009,0.12,0.8491
512,1.0,CVSS-only,30,0.24,0.3099,0.25,0.5418,0.116,0.6013
512,1.0,Random,30,0.02,0.0202,0.02,0.0367,0.008,0.0367
512,1.0,Context-only,30,0.04,0.148,0.04,0.1812,0.04,0.2718
512,1.0,PTI-full,30,0.36,0.6413,0.25,0.7694,0.12,0.8452
512,1.0,PTI-noObs,30,0.34,0.6506,0.25,0.7957,0.12,0.8711
512,1.0,PTI-noCrit,30,0.26,0.3119,0.24,0.5072,0.12,0.5967
513,0.0,EPSS-day0,35,0.26,0.4215,0.24,0.5966,0.14,0.753
513,0.0,CAP-day0,35,0.28,0.5211,0.27,0.7294,0.14,0.845
513,0.0,EPSS-matured-oracle,35,0.34,0.5912,0.27,0.75,0.14,0.8658
513,0.0,CVSS-only,35,0.26,0.3861,0.23,0.5447,0.132,0.6848
513,0.0,Random,35,0.0,0.0,0.01,0.0148,0.012,0.041
513,0.0,Context-only,35,0.0,0.0,0.0,0.0,0.028,0.0927
513,0.0,PTI-full,35,0.32,0.5731,0.27,0.75,0.14,0.867
513,0.0,PTI-noObs,35,0.32,0.5773,0.24,0.7105,0.136,0.8517
513,0.0,PTI-noCrit,35,0.26,0.3911,0.25,0.5817,0.14,0.7246
513,0.25,EPSS-day0,35,0.26,0.361,0.25,0.5506,0.14,0.6919
513,0.25,CAP-day0,35,0.3,0.5328,0.28,0.7386,0.14,0.8386
513,0.25,EPSS-matured-oracle,35,0.34,0.5912,0.27,0.75,0.14,0.8658
513,0.25,CVSS-only,35,0.28,0.4545,0.2,0.5512,0.132,0.7302
513,0.25,Random,35,0.0,0.0,0.0,0.0,0.008,0.0271
513,0.25,Context-only,35,0.0,0.0,0.0,0.0,0.028,0.0927
513,0.25,PTI-full,35,0.34,0.5845,0.28,0.7583,0.14,0.8582
513,0.25,PTI-noObs,35,0.34,0.6088,0.23,0.7021,0.132,0.8414
513,0.25,PTI-noCrit,35,0.26,0.3973,0.25,0.5867,0.14,0.7278
513,0.5,EPSS-day0,35,0.26,0.3522,0.26,0.5586,0.14,0.6848
513,0.5,CAP-day0,35,0.28,0.5322,0.28,0.7576,0.14,0.857
513,0.5,EPSS-matured-oracle,35,0.34,0.5912,0.27,0.75,0.14,0.8658
513,0.5,CVSS-only,35,0.26,0.324,0.24,0.5013,0.132,0.6244
513,0.5,Random,35,0.02,0.0176,0.02,0.0327,0.008,0.0327
513,0.5,Context-only,35,0.0,0.0,0.0,0.0,0.028,0.0927
513,0.5,PTI-full,35,0.34,0.5985,0.26,0.7449,0.14,0.874
513,0.5,PTI-noObs,35,0.36,0.6003,0.26,0.7286,0.136,0.8376
513,0.5,PTI-noCrit,35,0.26,0.3972,0.25,0.5888,0.14,0.7292
513,0.75,EPSS-day0,35,0.2,0.2945,0.24,0.523,0.14,0.678
513,0.75,CAP-day0,35,0.32,0.5183,0.26,0.6802,0.14,0.8082
513,0.75,EPSS-matured-oracle,35,0.34,0.5912,0.27,0.75,0.14,0.8658
513,0.75,CVSS-only,35,0.3,0.4455,0.21,0.5381,0.136,0.7181
513,0.75,Random,35,0.02,0.0194,0.02,0.0344,0.016,0.0607
513,0.75,Context-only,35,0.0,0.0,0.0,0.0,0.028,0.0927
513,0.75,PTI-full,35,0.34,0.5854,0.26,0.7312,0.14,0.8593
513,0.75,PTI-noObs,35,0.3,0.5725,0.24,0.7164,0.136,0.8558
513,0.75,PTI-noCrit,35,0.26,0.3461,0.25,0.5375,0.14,0.6771
513,1.0,EPSS-day0,35,0.3,0.3658,0.24,0.509,0.136,0.646
513,1.0,CAP-day0,35,0.34,0.5853,0.25,0.7135,0.136,0.8386
513,1.0,EPSS-matured-oracle,35,0.34,0.5912,0.27,0.75,0.14,0.8658
513,1.0,CVSS-only,35,0.22,0.3029,0.24,0.5062,0.14,0.6574
513,1.0,Random,35,0.04,0.0668,0.03,0.0819,0.02,0.1098
513,1.0,Context-only,35,0.0,0.0,0.0,0.0,0.028,0.0927
513,1.0,PTI-full,35,0.32,0.5713,0.26,0.7319,0.14,0.8586
513,1.0,PTI-noObs,35,0.26,0.4947,0.26,0.6999,0.14,0.8258
513,1.0,PTI-noCrit,35,0.24,0.3087,0.24,0.5005,0.14,0.6538
514,0.0,EPSS-day0,21,0.14,0.2021,0.2,0.4973,0.084,0.5176
514,0.0,CAP-day0,21,0.2,0.4715,0.21,0.7231,0.084,0.7231
514,0.0,EPSS-matured-oracle,21,0.24,0.5575,0.21,0.7612,0.084,0.7612
514,0.0,CVSS-only,21,0.2,0.2859,0.13,0.3519,0.076,0.4739
514,0.0,Random,21,0.0,0.0,0.0,0.0,0.0,0.0
514,0.0,Context-only,21,0.02,0.0252,0.02,0.0463,0.016,0.0823
514,0.0,PTI-full,21,0.24,0.5441,0.21,0.7478,0.084,0.7478
514,0.0,PTI-noObs,21,0.22,0.5131,0.17,0.6422,0.076,0.6833
514,0.0,PTI-noCrit,21,0.14,0.2021,0.2,0.4973,0.084,0.5176
514,0.25,EPSS-day0,21,0.18,0.2518,0.2,0.4969,0.084,0.5172
514,0.25,CAP-day0,21,0.22,0.484,0.21,0.7097,0.084,0.7097
514,0.25,EPSS-matured-oracle,21,0.24,0.5575,0.21,0.7612,0.084,0.7612
514,0.25,CVSS-only,21,0.14,0.2217,0.17,0.4476,0.08,0.5061
514,0.25,Random,21,0.02,0.0243,0.02,0.047,0.016,0.0833
514,0.25,Context-only,21,0.02,0.0252,0.02,0.0463,0.016,0.0823
514,0.25,PTI-full,21,0.22,0.5351,0.21,0.7627,0.084,0.7627
514,0.25,PTI-noObs,21,0.24,0.5696,0.18,0.7036,0.084,0.7604
514,0.25,PTI-noCrit,21,0.18,0.2509,0.2,0.4971,0.084,0.5173
514,0.5,EPSS-day0,21,0.18,0.2551,0.16,0.4133,0.084,0.5134
514,0.5,CAP-day0,21,0.2,0.4484,0.18,0.629,0.084,0.6902
514,0.5,EPSS-matured-oracle,21,0.24,0.5575,0.21,0.7612,0.084,0.7612
514,0.5,CVSS-only,21,0.2,0.2901,0.18,0.4696,0.084,0.5296
514,0.5,Random,21,0.02,0.0264,0.01,0.0264,0.008,0.0439
514,0.5,Context-only,21,0.02,0.0252,0.02,0.0463,0.016,0.0823
514,0.5,PTI-full,21,0.24,0.5637,0.19,0.7214,0.084,0.7622
