precision_at_50,miss_rate,fpr,mttr_days,sla_rate,seed,method
0.6966666666666668,0.2037037037037037,0.11868686868686869,2.368055555555556,0.9791666666666666,500,proposed_ensemble
0.7166666666666667,0.21064814814814817,0.11963383838383838,2.3842592592592595,0.9768518518518517,500,rf_only
0.6966666666666667,0.21296296296296294,0.11994949494949496,2.449074074074074,0.9768518518518517,500,xgb_only
0.22,0.673611111111111,0.1827651515151515,6.041666666666667,0.6527777777777777,500,cvss_only
0.4166666666666667,0.45601851851851855,0.15309343434343434,4.097222222222222,0.8495370370370369,500,epss_only
0.13999999999999999,0.7662037037037037,0.19539141414141414,8.053240740740742,0.44675925925925924,500,random
0.7533333333333333,0.17824074074074073,0.11521464646464646,2.2893518518518516,0.9837962962962963,501,proposed_ensemble
0.7899999999999999,0.1712962962962963,0.11426767676767675,2.2708333333333335,0.9814814814814815,501,rf_only
0.75,0.19444444444444445,0.11742424242424243,2.3472222222222223,0.9814814814814814,501,xgb_only
0.20333333333333334,0.6782407407407408,0.18339646464646467,6.314814814814814,0.6180555555555555,501,cvss_only
0.4366666666666666,0.40972222222222215,0.14678030303030304,3.8958333333333335,0.8495370370370371,501,epss_only
0.08333333333333333,0.8449074074074074,0.20612373737373738,8.266203703703704,0.4537037037037037,501,random
0.7300000000000001,0.18055555555555558,0.11553030303030302,2.3171296296296298,0.9814814814814815,502,proposed_ensemble
0.7333333333333334,0.16898148148148148,0.11395202020202021,2.335648148148148,0.9814814814814814,502,rf_only
0.7399999999999999,0.19444444444444442,0.11742424242424243,2.3495370370370368,0.9699074074074074,502,xgb_only
0.21333333333333337,0.6689814814814814,0.18213383838383837,6.273148148148148,0.6226851851851851,502,cvss_only
0.41,0.4768518518518518,0.15593434343434343,4.039351851851852,0.863425925925926,502,epss_only
0.09333333333333334,0.826388888888889,0.20359848484848486,8.081018518518519,0.4699074074074074,502,random
0.7266666666666667,0.19907407407407407,0.11805555555555554,2.321759259259259,0.986111111111111,503,proposed_ensemble
0.7366666666666667,0.212962962962963,0.11994949494949496,2.363425925925926,0.9814814814814815,503,rf_only
0.7233333333333335,0.2152777777777778,0.12026515151515153,2.3703703703703702,0.9837962962962963,503,xgb_only
0.22333333333333336,0.6875,0.1846590909090909,6.148148148148148,0.638888888888889,503,cvss_only
0.36000000000000004,0.5092592592592592,0.16035353535353536,4.347222222222222,0.8356481481481483,503,epss_only
0.12333333333333334,0.7685185185185185,0.1957070707070707,7.75,0.4884259259259259,503,random
0.7466666666666666,0.15972222222222218,0.11268939393939394,2.2268518518518516,0.9814814814814815,504,proposed_ensemble
0.7266666666666666,0.15972222222222224,0.11268939393939394,2.2870370370370368,0.9791666666666669,504,rf_only
0.7400000000000001,0.1851851851851852,0.11616161616161617,2.277777777777778,0.9791666666666666,504,xgb_only
0.21333333333333335,0.6805555555555557,0.18371212121212122,6.148148148148148,0.6666666666666666,504,cvss_only
0.4266666666666667,0.42824074074074076,0.14930555555555555,3.949074074074074,0.8541666666666666,504,epss_only
0.12000000000000001,0.7916666666666666,0.19886363636363635,8.206018518518519,0.4444444444444445,504,random
0.7766666666666667,0.16898148148148148,0.11395202020202021,2.2222222222222223,0.9791666666666666,505,proposed_ensemble
0.7600000000000001,0.1712962962962963,0.11426767676767678,2.2708333333333335,0.9745370370370369,505,rf_only
0.7666666666666666,0.18055555555555558,0.11553030303030304,2.2523148148148153,0.9837962962962964,505,xgb_only
0.2066666666666667,0.6643518518518519,0.18150252525252528,6.108796296296297,0.6504629629629629,505,cvss_only
0.4233333333333333,0.45601851851851855,0.15309343434343434,3.9351851851851856,0.8726851851851851,505,epss_only
0.13999999999999999,0.7870370370370371,0.19823232323232323,7.888888888888888,0.46064814814814814,505,random
0.6966666666666667,0.1712962962962963,0.11426767676767675,2.340277777777778,0.9745370370370372,506,proposed_ensemble
0.7233333333333333,0.17592592592592593,0.1148989898989899,2.3587962962962963,0.9722222222222223,506,rf_only
0.6733333333333333,0.1898148148148148,0.11679292929292928,2.3958333333333335,0.9722222222222222,506,xgb_only
0.2233333333333333,0.6643518518518519,0.18150252525252528,6.298611111111112,0.6180555555555556,506,cvss_only
0.4033333333333333,0.474537037037037,0.15561868686868688,3.9814814814814823,0.8703703703703703,506,epss_only
0.09666666666666668,0.8148148148148148,0.20202020202020202,8.252314814814813,0.4328703703703704,506,random
0.7533333333333333,0.1851851851851852,0.11616161616161615,2.3171296296296298,0.9722222222222223,507,proposed_ensemble
0.7300000000000001,0.1851851851851852,0.11616161616161617,2.3958333333333335,0.9629629629629631,507,rf_only
0.7400000000000001,0.1875,0.11647727272727272,2.3078703703703707,0.9814814814814815,507,xgb_only
0.22666666666666668,0.6875,0.1846590909090909,6.148148148148149,0.6319444444444445,507,cvss_only
0.37333333333333335,0.4791666666666667,0.15625000000000003,4.256944444444445,0.8449074074074073,507,epss_only
0.10333333333333333,0.7824074074074073,0.19760101010101008,7.861111111111111,0.4861111111111111,507,random
0.7466666666666667,0.19907407407407407,0.11805555555555554,2.3750000000000004,0.9745370370370371,508,proposed_ensemble
0.7366666666666667,0.21527777777777776,0.12026515151515153,2.435185185185185,0.9699074074074074,508,rf_only
0.7400000000000001,0.19907407407407407,0.11805555555555557,2.423611111111111,0.9699074074074074,508,xgb_only
0.22,0.6921296296296297,0.18529040404040406,6.101851851851851,0.6481481481481483,508,cvss_only
0.38999999999999996,0.4768518518518518,0.15593434343434343,4.046296296296297,0.8726851851851851,508,epss_only
0.11333333333333334,0.8148148148148149,0.202020202020202,8.240740740740739,0.4444444444444445,508,random
0.7533333333333333,0.1712962962962963,0.11426767676767675,2.3171296296296293,0.9814814814814815,509,proposed_ensemble
0.7233333333333335,0.17824074074074073,0.11521464646464648,2.3356481481481484,0.9745370370370371,509,rf_only
0.7400000000000001,0.1990740740740741,0.11805555555555554,2.3842592592592595,0.976851851851852,509,xgb_only
0.22666666666666668,0.6712962962962963,0.18244949494949494,6.1342592592592595,0.6273148148148148,509,cvss_only
0.4333333333333333,0.4444444444444445,0.15151515151515152,3.9120370370370368,0.8657407407407408,509,epss_only
0.13,0.7731481481481483,0.19633838383838384,7.814814814814816,0.4884259259259259,509,random
0.7033333333333333,0.21527777777777776,0.12026515151515153,2.467592592592593,0.9768518518518517,510,proposed_ensemble
0.7033333333333335,0.21296296296296294,0.11994949494949496,2.5000000000000004,0.9722222222222222,510,rf_only
0.6966666666666667,0.2476851851851852,0.12468434343434343,2.5393518518518516,0.9629629629629629,510,xgb_only
0.23666666666666666,0.6712962962962963,0.18244949494949494,6.131944444444444,0.6597222222222222,510,cvss_only
0.36666666666666664,0.4884259259259259,0.15751262626262627,4.395833333333333,0.8217592592592592,510,epss_only
0.13999999999999999,0.7638888888888888,0.19507575757575757,7.432870370370371,0.5162037037037037,510,random
0.7233333333333332,0.1875,0.11647727272727272,2.2847222222222223,0.9907407407407408,511,proposed_ensemble
0.73,0.17361111111111113,0.11458333333333336,2.2731481481481484,0.9884259259259259,511,rf_only
0.71,0.19212962962962965,0.11710858585858586,2.3495370370370368,0.986111111111111,511,xgb_only
0.23666666666666666,0.6921296296296297,0.18529040404040406,6.1342592592592595,0.6458333333333334,511,cvss_only
0.4166666666666667,0.4444444444444444,0.15151515151515152,4.025462962962963,0.8495370370370371,511,epss_only
0.14,0.7986111111111112,0.19981060606060605,8.206018518518517,0.4444444444444444,511,random
0.7499999999999999,0.14351851851851852,0.11047979797979797,2.196759259259259,0.9837962962962963,512,proposed_ensemble
0.7533333333333334,0.1574074074074074,0.11237373737373739,2.194444444444444,0.9814814814814815,512,rf_only
0.7266666666666667,0.17129629629629628,0.11426767676767675,2.2754629629629632,0.9837962962962963,512,xgb_only
0.21333333333333335,0.6574074074074073,0.18055555555555558,6.148148148148148,0.6342592592592592,512,cvss_only
0.4666666666666666,0.4050925925925926,0.14614898989898992,3.7361111111111107,0.8819444444444445,512,epss_only
0.12666666666666668,0.840277777777778,0.20549242424242423,8.210648148148147,0.45601851851851843,512,random
0.7466666666666666,0.19675925925925927,0.11773989898989899,2.351851851851852,0.976851851851852,513,proposed_ensemble
0.7400000000000001,0.1875,0.11647727272727272,2.3935185185185186,0.9699074074074074,513,rf_only
0.7366666666666667,0.21064814814814817,0.11963383838383838,2.3518518518518516,0.9861111111111112,513,xgb_only
0.22333333333333336,0.6504629629629629,0.17960858585858586,6.085648148148148,0.6550925925925926,513,cvss_only
0.41,0.45601851851851855,0.15309343434343434,3.969907407407407,0.8657407407407408,513,epss_only
0.11333333333333334,0.7986111111111112,0.19981060606060605,7.939814814814816,0.49074074074074076,513,random
0.7633333333333333,0.17129629629629628,0.11426767676767675,2.2083333333333335,0.9837962962962964,514,proposed_ensemble
0.7666666666666667,0.16435185185185183,0.11332070707070706,2.1967592592592595,0.9837962962962963,514,rf_only
0.7466666666666666,0.18055555555555555,0.11553030303030304,2.2731481481481484,0.9837962962962963,514,xgb_only
0.24,0.6504629629629629,0.17960858585858586,6.025462962962963,0.6666666666666666,514,cvss_only
0.41999999999999993,0.4490740740740741,0.15214646464646464,3.8703703703703702,0.8703703703703703,514,epss_only
0.12666666666666668,0.7962962962962963,0.19949494949494948,7.979166666666667,0.45138888888888884,514,random
