seed,overlap,recall_realtime,recall_scheduled,recall_fusion,gain_over_best_single,gain_over_realtime,scheduled_only_fresh,coverage_union,blind_spot,fusion_miss,miss_above_floor
1000,0.45,0.7513661202185792,0.4562841530054645,0.9118852459016393,0.16051912568306015,0.16051912568306015,0.16051912568306012,1.0,0.0,0.08811475409836067,0.08811475409836067
1000,0.5,0.7620578778135049,0.4289389067524116,0.8855305466237942,0.12347266881028929,0.12347266881028929,0.12347266881028938,0.9504823151125402,0.04951768488745978,0.11446945337620584,0.06495176848874606
1000,0.55,0.7382992748846408,0.4166117336849044,0.8312458800263678,0.09294660514172703,0.09294660514172703,0.09294660514172709,0.8965062623599209,0.10349373764007908,0.1687541199736322,0.06526038233355314
1000,0.6,0.7611336032388664,0.4284750337381916,0.8164642375168691,0.05533063427800278,0.05533063427800278,0.0553306342780027,0.8549257759784076,0.14507422402159242,0.18353576248313086,0.038461538461538436
1000,0.7,0.7357723577235772,0.41260162601626016,0.7357723577235772,0.0,0.0,0.0,0.7357723577235772,0.2642276422764228,0.2642276422764228,0.0
1001,0.45,0.7298050139275766,0.42270194986072424,0.8913649025069638,0.1615598885793872,0.1615598885793872,0.1615598885793872,1.0,0.0,0.10863509749303624,0.10863509749303624
1001,0.5,0.746843853820598,0.4398671096345515,0.8704318936877077,0.12358803986710964,0.12358803986710964,0.12358803986710963,0.9561461794019933,0.04385382059800669,0.12956810631229232,0.08571428571428563
1001,0.55,0.7286769644056413,0.4076561450638012,0.8240429818670248,0.09536601746138351,0.09536601746138351,0.09536601746138348,0.9012760241773002,0.09872397582269976,0.17595701813297515,0.07723304231027539
1001,0.6,0.7531857813547954,0.40509725016767273,0.8081824279007378,0.054996646545942385,0.054996646545942385,0.05499664654594232,0.8531187122736419,0.1468812877263581,0.1918175720992622,0.04493628437290409
1001,0.7,0.7496740547588006,0.4152542372881356,0.7496740547588006,0.0,0.0,0.0,0.7496740547588006,0.25032594524119944,0.25032594524119944,0.0
1002,0.45,0.7769784172661871,0.41203400915631133,0.9064748201438849,0.1294964028776978,0.1294964028776978,0.12949640287769784,1.0,0.0,0.09352517985611508,0.09352517985611508
1002,0.5,0.7491616364855801,0.40778001341381626,0.8672032193158954,0.1180415828303153,0.1180415828303153,0.11804158283031523,0.9443326626425218,0.0556673373574782,0.1327967806841046,0.07712944332662641
1002,0.55,0.7487373737373737,0.4185606060606061,0.8345959595959596,0.08585858585858586,0.08585858585858586,0.08585858585858586,0.9053030303030303,0.09469696969696972,0.16540404040404044,0.07070707070707072
1002,0.6,0.7484450587422253,0.41948859709744296,0.8092605390463027,0.06081548030407735,0.06081548030407735,0.0608154803040774,0.8472702142363511,0.15272978576364893,0.19073946095369732,0.038009675190048386
1002,0.7,0.7598167539267016,0.42277486910994766,0.7598167539267016,0.0,0.0,0.0,0.7598167539267016,0.24018324607329844,0.24018324607329844,0.0
1003,0.45,0.7409925220938137,0.44459551325628827,0.8919102651257648,0.15091774303195105,0.15091774303195105,0.15091774303195105,1.0,0.0,0.10808973487423523,0.10808973487423523
1003,0.5,0.7540069686411149,0.418815331010453,0.8731707317073171,0.11916376306620213,0.11916376306620213,0.11916376306620209,0.9491289198606272,0.050871080139372804,0.12682926829268293,0.07595818815331012
1003,0.55,0.7617747440273037,0.44368600682593856,0.8539249146757679,0.0921501706484642,0.0921501706484642,0.09215017064846416,0.9092150170648464,0.09078498293515358,0.14607508532423208,0.0552901023890785
1003,0.6,0.7493438320209974,0.4120734908136483,0.8011811023622047,0.05183727034120733,0.05183727034120733,0.05183727034120735,0.833989501312336,0.16601049868766404,0.19881889763779526,0.03280839895013121
1003,0.7,0.74,0.4013333333333333,0.74,0.0,0.0,0.0,0.74,0.26,0.26,0.0
1004,0.45,0.7421163279607569,0.3973370707778556,0.8829712683952348,0.14085494043447788,0.14085494043447788,0.14085494043447794,1.0,0.0,0.11702873160476523,0.11702873160476523
1004,0.5,0.7458064516129033,0.40838709677419355,0.8696774193548387,0.1238709677419354,0.1238709677419354,0.12387096774193548,0.944516129032258,0.05548387096774199,0.13032258064516133,0.07483870967741935
1004,0.55,0.7465528562048588,0.4208798424162837,0.8358502954694682,0.08929743926460942,0.08929743926460942,0.08929743926460933,0.8923177938279712,0.10768220617202884,0.1641497045305318,0.056467498358502954
