cluster,n,engaged,dom_intent,telnet,hassh,n_auth
0,177208,0.14291115525258452,bruteforce,0.0037865107670082615,0.9961852738025372,1.0037413660782808
1,16875,0.016592592592592593,bruteforce,0.0,0.0,1.6865185185185185
2,1201,0.012489592006661115,bruteforce,0.012489592006661115,0.8776019983347211,15.621981681931723
3,26668,0.0009749512524373781,bruteforce,0.6591420428978552,0.287985600719964,0.02546122693865307
4,70336,0.0010236578707916288,bruteforce,0.001393312101910828,0.9984787306642402,1.3138506596906279
