cell_K,cell_lambda,method,w1_mean,w6_mean,slope_mean,w1_ci_lo,w1_ci_hi,w6_ci_lo,w6_ci_hi,slope_ci_lo,slope_ci_hi
10,1.0,CVSS-only,0.0872,0.07920000000000002,-0.0018057142857142846,0.068,0.1072,0.062400000000000004,0.0968,-0.004548571428571427,0.0009828571428571427
10,1.0,EPSS-only,0.3312,0.13440000000000002,-0.03826285714285716,0.3072,0.35600000000000004,0.1136,0.1552,-0.04310857142857144,-0.03350857142857144
10,1.0,HRS-only,0.28400000000000003,0.2632,-0.0035885714285714275,0.2616,0.30560000000000004,0.2408,0.2848,-0.008205714285714283,0.0010977142857142802
10,1.0,HygienePrio-full,0.5952000000000001,0.5296,-0.010377142857142854,0.568,0.6215999999999999,0.5064,0.552,-0.016045714285714278,-0.00450285714285714
10,1.0,Random,0.09440000000000001,0.08960000000000001,-0.002239999999999998,0.0816,0.10880000000000001,0.07120000000000001,0.10800000000000003,-0.006331999999999995,0.0017828571428571446
10,3.0,CVSS-only,0.0872,0.0816,-0.0007085714285714274,0.068,0.1072,0.06720000000000001,0.09759999999999999,-0.004502857142857142,0.002925714285714288
10,3.0,EPSS-only,0.3312,0.1336,-0.038742857142857155,0.3072,0.35600000000000004,0.11200000000000002,0.156,-0.044640000000000006,-0.033188000000000016
10,3.0,HRS-only,0.28400000000000003,0.26080000000000003,-0.004525714285714284,0.2616,0.30560000000000004,0.23439999999999997,0.28800000000000003,-0.009714285714285717,0.0010285714285714301
10,3.0,HygienePrio-full,0.5952000000000001,0.5416000000000001,-0.009348571428571434,0.568,0.6215999999999999,0.5183800000000002,0.5640000000000001,-0.015863428571428584,-0.0031537142857142927
10,3.0,Random,0.09440000000000001,0.10000000000000002,0.00041142857142857246,0.0816,0.10880000000000001,0.08,0.1216,-0.0034971428571428567,0.004297142857142858
10,6.0,CVSS-only,0.0872,0.0816,-0.000754285714285714,0.068,0.1072,0.064,0.10000000000000002,-0.003451999999999996,0.002011428571428571
10,6.0,EPSS-only,0.3312,0.14880000000000002,-0.034560000000000014,0.3072,0.35600000000000004,0.1288,0.16879999999999998,-0.040502857142857146,-0.028937142857142866
10,6.0,HRS-only,0.28400000000000003,0.25999999999999995,-0.004457142857142859,0.2616,0.30560000000000004,0.23440000000000003,0.2856,-0.008617142857142865,-0.0004571428571428561
10,6.0,HygienePrio-full,0.5952000000000001,0.5536000000000001,-0.005714285714285711,0.568,0.6215999999999999,0.5272,0.5800000000000001,-0.01312,0.0013720000000000013
10,6.0,Random,0.09440000000000001,0.1,2.2857142857145297e-05,0.0816,0.10880000000000001,0.0824,0.1192,-0.003817142857142855,0.0041371428571428575
10,12.0,CVSS-only,0.0872,0.09200000000000001,0.0012342857142857149,0.068,0.1072,0.07519999999999999,0.1112,-0.0012114285714285708,0.003771428571428573
10,12.0,EPSS-only,0.3312,0.13520000000000001,-0.03625142857142858,0.3072,0.35600000000000004,0.11280000000000001,0.15839999999999999,-0.042263428571428584,-0.03074285714285715
10,12.0,HRS-only,0.28400000000000003,0.2576,-0.005325714285714286,0.2616,0.30560000000000004,0.23040000000000002,0.2848,-0.010582857142857142,-0.00015999999999999662
10,12.0,HygienePrio-full,0.5952000000000001,0.5304000000000001,-0.011565714285714276,0.568,0.6215999999999999,0.504,0.5568000000000001,-0.019131428571428567,-0.0041137142857142804
