condition_id,task_id,method_id,mean_ap,mean_pk,rule_ap,rule_pk,failure_flag,n_seeds
c_base_seed137,T1,M2_hybrid,1.0,0.4,1.0,0.4,True,1
c_base_seed137,T1,M3_iforest,0.7708333333333333,0.4,1.0,0.4,True,1
c_base_seed137,T1,M4_lof,0.9166666666666666,0.4,1.0,0.4,True,1
c_base_seed137,T1,M5_ocsvm,1.0,0.4,1.0,0.4,True,1
c_base_seed137,T1,M6_linearae,1.0,0.4,1.0,0.4,True,1
c_base_seed137,T1,M7_zscore,1.0,0.4,1.0,0.4,True,1
c_base_seed137,T1,M8_graphif,0.7708333333333333,0.4,1.0,0.4,True,1
c_base_seed137,T2,M2_hybrid,0.24858058608058609,0.35294117647058826,0.5938131313131313,0.35294117647058826,True,1
c_base_seed137,T2,M3_iforest,0.4729229104229104,0.35294117647058826,0.5938131313131313,0.35294117647058826,True,1
c_base_seed137,T2,M4_lof,0.9242424242424243,0.35294117647058826,0.5938131313131313,0.35294117647058826,False,1
c_base_seed137,T2,M5_ocsvm,0.9333333333333333,0.35294117647058826,0.5938131313131313,0.35294117647058826,False,1
c_base_seed137,T2,M6_linearae,0.7320818070818071,0.35294117647058826,0.5938131313131313,0.35294117647058826,False,1
c_base_seed137,T2,M7_zscore,0.9761904761904762,0.35294117647058826,0.5938131313131313,0.35294117647058826,False,1
c_base_seed137,T2,M8_graphif,0.4729229104229104,0.35294117647058826,0.5938131313131313,0.35294117647058826,True,1
c_base_seed137,T3,M2_hybrid,0.7222222222222223,0.2,1.0,0.2,True,1
c_base_seed137,T3,M3_iforest,1.0,0.2,1.0,0.2,True,1
c_base_seed137,T3,M4_lof,0.24206349206349204,0.2,1.0,0.2,True,1
c_base_seed137,T3,M5_ocsvm,1.0,0.2,1.0,0.2,True,1
c_base_seed137,T3,M6_linearae,1.0,0.2,1.0,0.2,True,1
c_base_seed137,T3,M7_zscore,0.08917832105619017,0.0,1.0,0.2,True,1
c_base_seed137,T3,M8_graphif,1.0,0.2,1.0,0.2,True,1
c_base_seed137,T4,M2_hybrid,0.7918137315652471,1.0,0.994509674369767,1.0,True,1
c_base_seed137,T4,M3_iforest,0.793981748586158,1.0,0.994509674369767,1.0,True,1
c_base_seed137,T4,M4_lof,1.0,1.0,0.994509674369767,1.0,True,1
c_base_seed137,T4,M5_ocsvm,1.0,1.0,0.994509674369767,1.0,True,1
c_base_seed137,T4,M6_linearae,1.0,1.0,0.994509674369767,1.0,True,1
c_base_seed137,T4,M7_zscore,0.8083635499099334,1.0,0.994509674369767,1.0,True,1
c_base_seed137,T5,M2_hybrid,0.5155661205093401,0.4,0.4254868012243802,0.4,False,1
c_base_seed137,T5,M3_iforest,0.706686157706286,0.56,0.4254868012243802,0.4,False,1
c_base_seed137,T5,M4_lof,0.6794521371371263,0.56,0.4254868012243802,0.4,False,1
c_base_seed137,T5,M5_ocsvm,0.7232093213836137,0.52,0.4254868012243802,0.4,False,1
c_base_seed137,T5,M6_linearae,0.3084599760505948,0.28,0.4254868012243802,0.4,True,1
c_base_seed137,T5,M7_zscore,0.3147206662608885,0.32,0.4254868012243802,0.4,True,1
c_base_seed137,T6,M2_hybrid,0.4511904761904762,0.4,1.0,0.4,True,1
c_base_seed137,T6,M3_iforest,0.2129398826979472,0.2,1.0,0.4,True,1
c_base_seed137,T6,M4_lof,1.0,0.4,1.0,0.4,True,1
c_base_seed137,T6,M5_ocsvm,1.0,0.4,1.0,0.4,True,1
c_base_seed137,T6,M6_linearae,1.0,0.4,1.0,0.4,True,1
c_base_seed137,T6,M7_zscore,1.0,0.4,1.0,0.4,True,1
c_base_seed137,T6,M8_graphif,0.2129398826979472,0.2,1.0,0.4,True,1
c_base_seed137,T7,M2_hybrid,0.41666666666666663,0.2,1.0,0.2,True,1
